,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Paul Arizin*,SF,30,PHW,70,,2799,632,1466,.431,,,,632,1466,.431,.431,587,722,.813,,,637,119,,,,264,1851,1959
1,2,Elgin Baylor*,SF,24,MNL,70,,2855,605,1482,.408,,,,605,1482,.408,.408,532,685,.777,,,1050,287,,,,270,1742,1959
2,3,Ernie Beck,SG,27,PHW,70,,1017,163,418,.390,,,,163,418,.390,.390,43,65,.662,,,176,89,,,,124,369,1959
3,4,Al Bianchi,PG,26,SYR,72,,1779,285,756,.377,,,,285,756,.377,.377,149,206,.723,,,199,159,,,,260,719,1959
4,5,Jerry Bird,F,23,NYK,11,,45,12,32,.375,,,,12,32,.375,.375,1,1,1.000,,,12,4,,,,7,25,1959
5,6,Bucky Bockhorn,SG,25,CIN,71,,2251,294,771,.381,,,,294,771,.381,.381,138,196,.704,,,460,206,,,,215,726,1959
6,7,Carl Braun*,PG,31,NYK,72,,1959,287,684,.420,,,,287,684,.420,.420,180,218,.826,,,251,349,,,,178,754,1959
7,8,Pete Brennan,F,22,NYK,16,,136,13,43,.302,,,,13,43,.302,.302,14,25,.560,,,31,6,,,,15,40,1959
8,9,Barney Cable,PF,23,DET,31,,271,43,126,.341,,,,43,126,.341,.341,23,29,.793,,,88,12,,,,30,109,1959
9,10,Gene Conley,PF,28,BOS,50,,663,86,262,.328,,,,86,262,.328,.328,37,64,.578,,,276,19,,,,117,209,1959
10,11,Ed Conlin,SG,25,TOT,72,,1955,329,891,.369,,,,329,891,.369,.369,197,274,.719,,,394,132,,,,188,855,1959
11,11,Ed Conlin,F-G,25,SYR,57,,1601,261,716,.365,,,,261,716,.365,.365,156,211,.739,,,303,115,,,,156,678,1959
12,11,Ed Conlin,SG,25,DET,15,,354,68,175,.389,,,,68,175,.389,.389,41,63,.651,,,91,17,,,,32,177,1959
13,12,Larry Costello,PG,27,SYR,70,,2750,414,948,.437,,,,414,948,.437,.437,280,349,.802,,,365,379,,,,263,1108,1959
14,13,Bob Cousy*,PG,30,BOS,65,,2403,484,1260,.384,,,,484,1260,.384,.384,329,385,.855,,,359,557,,,,135,1297,1959
15,14,Archie Dees,PF,22,CIN,68,,1252,200,562,.356,,,,200,562,.356,.356,159,204,.779,,,339,56,,,,114,559,1959
16,15,George Dempsey,PG,29,TOT,57,,694,92,215,.428,,,,92,215,.428,.428,81,106,.764,,,160,68,,,,95,265,1959
17,15,George Dempsey,PG,29,PHW,23,,284,36,75,.480,,,,36,75,.480,.480,23,33,.697,,,60,32,,,,31,95,1959
18,15,George Dempsey,PG,29,SYR,34,,410,56,140,.400,,,,56,140,.400,.400,58,73,.795,,,100,36,,,,64,170,1959
19,16,Connie Dierking,C,22,SYR,64,,726,105,290,.362,,,,105,290,.362,.362,83,140,.593,,,233,34,,,,148,293,1959
20,17,Walter Dukes,C,28,DET,72,,2338,318,904,.352,,,,318,904,.352,.352,297,452,.657,,,958,64,,,,332,933,1959
21,18,Boo Ellis,PF,22,MNL,72,,1202,163,379,.430,,,,163,379,.430,.430,102,144,.708,,,380,59,,,,137,428,1959
22,19,Wayne Embry*,C,21,CIN,66,,1590,272,702,.387,,,,272,702,.387,.387,206,314,.656,,,597,96,,,,232,750,1959
23,20,Dick Farley,SG,26,DET,70,,1280,177,448,.395,,,,177,448,.395,.395,137,186,.737,,,195,124,,,,130,491,1959
24,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1959
25,21,Mike Farmer,SF,22,NYK,72,,1545,176,498,.353,,,,176,498,.353,.353,83,99,.838,,,315,66,,,,152,435,1959
26,22,Ray Felix,C,28,NYK,72,,1588,260,700,.371,,,,260,700,.371,.371,229,321,.713,,,569,49,,,,275,749,1959
27,23,Al Ferrari,SG,25,STL,72,,1189,134,385,.348,,,,134,385,.348,.348,145,199,.729,,,142,122,,,,155,413,1959
28,24,Ed Fleming,SG,25,MNL,71,,1132,162,419,.387,,,,162,419,.387,.387,137,190,.721,,,281,89,,,,148,461,1959
29,25,Larry Foust,C,30,MNL,72,,1933,301,771,.390,,,,301,771,.390,.390,280,366,.765,,,627,91,,,,233,882,1959
30,26,Dave Gambee,SF,21,STL,2,,7,1,1,1.000,,,,1,1,1.000,1.000,0,0,,,,2,0,,,,2,2,1959
31,27,Dick Garmaker,SG,26,MNL,72,,2493,350,885,.395,,,,350,885,.395,.395,284,368,.772,,,325,211,,,,226,984,1959
32,28,Jack George,PG,30,TOT,71,,1881,233,674,.346,,,,233,674,.346,.346,153,203,.754,,,293,221,,,,149,619,1959
33,28,Jack George,PG,30,PHW,46,,1387,171,501,.341,,,,171,501,.341,.341,111,152,.730,,,211,166,,,,98,453,1959
34,28,Jack George,PG,30,NYK,25,,494,62,173,.358,,,,62,173,.358,.358,42,51,.824,,,82,55,,,,51,166,1959
35,29,Tom Gola*,SG,26,PHW,64,,2333,310,773,.401,,,,310,773,.401,.401,281,357,.787,,,710,269,,,,243,901,1959
36,30,Joe Graboski,PF,29,PHW,72,,2482,394,1116,.353,,,,394,1116,.353,.353,270,360,.750,,,751,148,,,,249,1058,1959
37,31,Si Green,PG,25,TOT,46,,1109,146,415,.352,,,,146,415,.352,.352,104,160,.650,,,252,113,,,,127,396,1959
38,31,Si Green,G-F,25,CIN,20,,666,100,268,.373,,,,100,268,.373,.373,50,73,.685,,,140,85,,,,65,250,1959
