,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Zaid Abdul-Aziz,C,27,HOU,79,,2459,336,732,.459,,,,336,732,.459,.459,193,240,.804,259,664,923,166,80,104,,227,865,1974
1,2,Kareem Abdul-Jabbar*,C,26,MIL,81,,3548,948,1759,.539,,,,948,1759,.539,.539,295,420,.702,287,891,1178,386,112,283,,238,2191,1974
2,3,Don Adams,SF,26,DET,74,,2298,303,742,.408,,,,303,742,.408,.408,153,201,.761,133,315,448,141,110,12,,242,759,1974
3,4,Rick Adelman,PG,27,CHI,55,,618,64,170,.376,,,,64,170,.376,.376,54,76,.711,16,53,69,56,36,1,,63,182,1974
4,5,Lucius Allen,PG,26,MIL,72,,2388,526,1062,.495,,,,526,1062,.495,.495,216,274,.788,89,202,291,374,137,22,,215,1268,1974
5,6,Tiny Archibald*,PG,25,KCO,35,,1272,222,492,.451,,,,222,492,.451,.451,173,211,.820,21,64,85,266,56,7,,76,617,1974
6,7,Dennis Awtrey,C,25,CHI,68,,756,65,123,.528,,,,65,123,.528,.528,54,94,.574,49,125,174,86,22,14,,128,184,1974
7,8,Mike Bantom,PF,22,PHO,76,,1982,314,787,.399,,,,314,787,.399,.399,141,213,.662,172,347,519,163,50,47,,289,769,1974
8,9,Dick Barnett,SG,37,NYK,5,,58,10,26,.385,,,,10,26,.385,.385,2,3,.667,1,3,4,6,1,0,,2,22,1974
9,10,Jim Barnett,SG,29,GSW,77,,1689,350,755,.464,,,,350,755,.464,.464,184,226,.814,76,146,222,209,56,11,,146,884,1974
10,11,Rick Barry*,SF,29,GSW,80,,2918,796,1746,.456,,,,796,1746,.456,.456,417,464,.899,103,437,540,484,169,40,,265,2009,1974
11,12,Butch Beard,PG,26,GSW,79,,2134,316,617,.512,,,,316,617,.512,.512,173,234,.739,136,253,389,300,105,9,,241,805,1974
12,13,Ron Behagen,PF,23,KCO,80,,2059,357,827,.432,,,,357,827,.432,.432,162,212,.764,188,379,567,134,56,37,,291,876,1974
13,14,Dennis Bell,SF,22,NYK,1,,4,0,1,.000,,,,0,1,.000,.000,0,0,,0,0,0,0,0,0,,0,0,1974
14,15,Walt Bellamy*,C,34,ATL,77,,2440,389,801,.486,,,,389,801,.486,.486,233,383,.608,264,476,740,189,52,48,,232,1011,1974
15,16,Henry Bibby,PG,24,NYK,66,,986,210,465,.452,,,,210,465,.452,.452,73,88,.830,48,85,133,91,65,2,,123,493,1974
16,17,Dave Bing*,PG,30,DET,81,,3124,582,1336,.436,,,,582,1336,.436,.436,356,438,.813,108,173,281,555,109,17,,216,1520,1974
17,18,John Block,PF,29,KCO,82,,1777,275,634,.434,,,,275,634,.434,.434,164,206,.796,129,260,389,94,68,35,,229,714,1974
18,19,Tom Boerwinkle,C,28,CHI,46,,602,58,119,.487,,,,58,119,.487,.487,42,60,.700,53,160,213,94,16,18,,80,158,1974
19,20,Freddie Boyd,PG,23,PHI,75,,1818,286,712,.402,,,,286,712,.402,.402,141,195,.723,16,77,93,249,60,9,,173,713,1974
20,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1974
21,21,Steve Bracey,PG,23,ATL,75,,1463,241,520,.463,,,,241,520,.463,.463,69,96,.719,26,120,146,231,60,5,,157,551,1974
22,22,Bill Bradley*,SF,30,NYK,82,,2813,502,1112,.451,,,,502,1112,.451,.451,146,167,.874,59,194,253,242,42,21,,278,1150,1974
23,23,Jim Brewer,PF,22,CLE,82,,1862,210,548,.383,,,,210,548,.383,.383,80,123,.650,207,317,524,149,46,35,,192,500,1974
24,24,Bill Bridges,PF,34,LAL,65,,1812,216,513,.421,,,,216,513,.421,.421,116,164,.707,193,306,499,148,58,31,,219,548,1974
25,25,John Brisker,SF,26,SEA,35,,717,178,396,.449,,,,178,396,.449,.449,82,100,.820,59,87,146,56,28,6,,70,438,1974
26,26,Allan Bristow,SF,22,PHI,55,,643,108,270,.400,,,,108,270,.400,.400,42,57,.737,68,99,167,92,29,1,,68,258,1974
27,27,Fred Brown,SG,25,SEA,82,,2501,578,1226,.471,,,,578,1226,.471,.471,195,226,.863,114,287,401,414,136,18,,276,1351,1974
28,28,John Brown,SF,22,ATL,77,,1715,277,632,.438,,,,277,632,.438,.438,163,217,.751,177,264,441,114,29,16,,239,717,1974
29,29,Corky Calhoun,SF,23,PHO,77,,2207,268,581,.461,,,,268,581,.461,.461,98,129,.760,115,292,407,135,71,30,,253,634,1974
30,30,Larry Cannon,SG,26,PHI,19,,335,49,127,.386,,,,49,127,.386,.386,19,28,.679,16,20,36,52,7,4,,48,117,1974
31,31,Austin Carr,SG,25,CLE,81,,3100,748,1682,.445,,,,748,1682,.445,.445,279,326,.856,139,150,289,305,92,14,,189,1775,1974
32,32,Fred Carter,SG,28,PHI,78,,3044,706,1641,.430,,,,706,1641,.430,.430,254,358,.709,82,289,371,443,113,23,,276,1666,1974
33,33,Bill Chamberlain,SF,24,PHO,28,,367,57,130,.438,,,,57,130,.438,.438,39,56,.696,33,47,80,37,20,12,,74,153,1974
34,34,Don Chaney,SG,27,BOS,81,,2258,348,750,.464,,,,348,750,.464,.464,149,180,.828,210,168,378,176,83,62,,247,845,1974
35,35,Ken Charles,SG,22,BUF,59,,693,88,185,.476,,,,88,185,.476,.476,53,79,.671,25,40,65,54,31,10,,91,229,1974
36,36,Phil Chenier,SG,23,CAP,76,,2942,697,1607,.434,,,,697,1607,.434,.434,274,334,.820,114,274,388,239,155,67,,135,1668,1974
37,37,Bob Christian,C,27,PHO,81,,1244,140,288,.486,,,,140,288,.486,.486,106,151,.702,85,254,339,98,19,32,,191,386,1974
38,38,Archie Clark,PG,32,CAP,56,,1786,315,675,.467,,,,315,675,.467,.467,103,131,.786,44,97,141,285,59,6,,122,733,1974
39,39,Jim Cleamons,PG,24,CLE,81,,1642,236,545,.433,,,,236,545,.433,.433,93,133,.699,63,167,230,227,61,17,,152,565,1974
40,40,Barry Clemens,SF,30,CLE,71,,913,163,346,.471,,,,163,346,.471,.471,62,73,.849,42,124,166,80,36,2,,136,388,1974
41,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1974
42,41,E.C. Coleman,PF,23,HOU,58,,1075,128,250,.512,,,,128,250,.512,.512,47,74,.635,81,171,252,76,37,20,,162,303,1974
43,42,Doug Collins,SG,22,PHI,25,,436,72,194,.371,,,,72,194,.371,.371,55,72,.764,7,39,46,40,13,2,,65,199,1974
44,43,Mel Counts,C,32,LAL,45,,499,61,167,.365,,,,61,167,.365,.365,24,33,.727,56,90,146,54,20,23,,85,146,1974
45,44,Dave Cowens*,C,25,BOS,80,,3352,645,1475,.437,,,,645,1475,.437,.437,228,274,.832,264,993,1257,354,95,101,,294,1518,1974
46,45,Dick Cunningham,C,27,MIL,8,,45,3,6,.500,,,,3,6,.500,.500,0,7,.000,1,15,16,0,2,2,,5,6,1974
47,46,Mike D'Antoni,SG,22,KCO,52,,989,107,266,.402,,,,107,266,.402,.402,33,47,.702,24,69,93,123,75,15,,112,247,1974
48,47,Bob Dandridge,SF,26,MIL,71,,2521,583,1158,.503,,,,583,1158,.503,.503,175,214,.818,117,362,479,201,111,41,,271,1341,1974
49,48,Charlie Davis,SG,24,POR,8,,90,14,40,.350,,,,14,40,.350,.350,3,4,.750,2,9,11,11,2,0,,7,31,1974
50,49,Dwight Davis,PF,24,CLE,76,,2477,376,862,.436,,,,376,862,.436,.436,197,274,.719,174,470,644,186,63,74,,291,949,1974
51,50,Jim Davis,C,32,DET,78,,947,117,283,.413,,,,117,283,.413,.413,90,139,.647,102,191,293,86,39,30,,158,324,1974
52,51,Mel Davis,PF,23,NYK,30,,167,33,95,.347,,,,33,95,.347,.347,12,16,.750,17,37,54,8,3,4,,36,78,1974
53,52,Mickey Davis,SF,23,MIL,73,,1012,169,335,.504,,,,169,335,.504,.504,93,112,.830,78,146,224,87,27,5,,94,431,1974
54,53,Dave DeBusschere*,PF,33,NYK,71,,2699,559,1212,.461,,,,559,1212,.461,.461,164,217,.756,134,623,757,253,67,39,,222,1282,1974
55,54,Derrek Dickey,PF,22,GSW,66,,930,115,233,.494,,,,115,233,.494,.494,51,66,.773,123,216,339,54,17,15,,112,281,1974
56,55,Ernie DiGregorio,PG,23,BUF,81,,2910,530,1260,.421,,,,530,1260,.421,.421,174,193,.902,48,171,219,663,59,9,,242,1234,1974
57,56,Steve Downing,C,23,BOS,24,,137,21,64,.328,,,,21,64,.328,.328,22,38,.579,14,25,39,11,5,0,,33,64,1974
58,57,Terry Driscoll,PF,26,MIL,64,,697,88,187,.471,,,,88,187,.471,.471,30,46,.652,73,126,199,54,21,16,,121,206,1974
59,58,Ken Durrett,SF,25,KCO,45,,462,86,176,.489,,,,86,176,.489,.489,42,69,.609,28,50,78,19,13,5,,68,214,1974
60,59,Joe Ellis,SF,29,GSW,50,,515,61,190,.321,,,,61,190,.321,.321,18,31,.581,37,85,122,37,33,9,,76,140,1974
61,60,Leroy Ellis,C,33,PHI,81,,2831,326,722,.452,,,,326,722,.452,.452,147,196,.750,292,598,890,189,86,87,,224,799,1974
62,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1974
63,61,Keith Erickson,SF,29,PHO,66,,2033,393,824,.477,,,,393,824,.477,.477,177,221,.801,94,320,414,205,63,20,,193,963,1974
64,62,Hank Finkel,C,31,BOS,60,,427,60,130,.462,,,,60,130,.462,.462,28,43,.651,41,94,135,27,3,7,,62,148,1974
65,63,Chris Ford,SG,25,DET,82,,2059,264,595,.444,,,,264,595,.444,.444,57,77,.740,109,195,304,279,148,14,,159,585,1974
66,64,Fred Foster,SF,27,CLE,58,,649,112,288,.389,,,,112,288,.389,.389,54,64,.844,43,65,108,62,19,6,,79,278,1974
67,65,Jim Fox,C,30,SEA,78,,2179,322,673,.478,,,,322,673,.478,.478,241,293,.823,244,470,714,227,56,21,,247,885,1974
68,66,Walt Frazier*,PG,28,NYK,80,,3338,674,1429,.472,,,,674,1429,.472,.472,295,352,.838,120,416,536,551,161,15,,212,1643,1974
69,67,Rod Freeman,SF,23,PHI,35,,265,39,103,.379,,,,39,103,.379,.379,28,41,.683,22,32,54,14,12,1,,42,106,1974
70,68,Bernie Fryer,SG,24,POR,80,,1674,226,491,.460,,,,226,491,.460,.460,107,135,.793,60,99,159,279,92,10,,187,559,1974
71,69,Dick Garrett,SG,27,TOT,40,,326,43,126,.341,,,,43,126,.341,.341,15,19,.789,15,25,40,23,10,1,,56,101,1974
72,69,Dick Garrett,SG,27,NYK,25,,239,32,91,.352,,,,32,91,.352,.352,10,13,.769,10,16,26,14,7,1,,41,74,1974
73,69,Dick Garrett,SG,27,MIL,15,,87,11,35,.314,,,,11,35,.314,.314,5,6,.833,5,9,14,9,3,0,,15,27,1974
74,70,Rowland Garrett,SF,23,CHI,41,,373,68,184,.370,,,,68,184,.370,.370,21,32,.656,31,39,70,11,5,9,,43,157,1974
75,71,Jim Garvin,PF,23,BUF,6,,11,1,4,.250,,,,1,4,.250,.250,0,0,,1,4,5,0,0,0,,1,2,1974
76,72,John Gianelli,C,23,NYK,70,,1423,208,434,.479,,,,208,434,.479,.479,92,121,.760,110,233,343,77,23,42,,159,508,1974
77,73,Dick Gibbs,SF,25,SEA,71,,1528,302,700,.431,,,,302,700,.431,.431,162,201,.806,91,132,223,79,39,18,,195,766,1974
78,74,Herm Gilliam,PG,27,ATL,62,,2003,384,846,.454,,,,384,846,.454,.454,106,134,.791,61,206,267,355,134,18,,190,874,1974
79,75,Gail Goodrich*,SG,30,LAL,82,,3061,784,1773,.442,,,,784,1773,.442,.442,508,588,.864,95,155,250,427,126,12,,227,2076,1974
80,76,Travis Grant,SF,24,LAL,3,,6,1,4,.250,,,,1,4,.250,.250,1,3,.333,0,1,1,0,0,0,,1,3,1974
81,77,Lamar Green,PF,26,PHO,72,,1103,129,317,.407,,,,129,317,.407,.407,38,68,.559,85,265,350,43,32,38,,150,296,1974
82,78,Matt Guokas,SG,29,TOT,75,,1871,195,396,.492,,,,195,396,.492,.492,39,60,.650,31,90,121,238,54,21,,150,429,1974
83,78,Matt Guokas,SG,29,KCO,9,,315,41,83,.494,,,,41,83,.494,.494,8,12,.667,2,19,21,36,8,1,,21,90,1974
84,78,Matt Guokas,SG,29,HOU,39,,1007,93,203,.458,,,,93,203,.458,.458,21,28,.750,17,43,60,133,27,14,,73,207,1974
85,78,Matt Guokas,SG,29,BUF,27,,549,61,110,.555,,,,61,110,.555,.555,10,20,.500,12,28,40,69,19,6,,56,132,1974
86,79,Happy Hairston,PF,31,LAL,77,,2634,385,759,.507,,,,385,759,.507,.507,343,445,.771,335,705,1040,208,64,17,,264,1113,1974
87,80,Phil Hankinson,SF,22,BOS,28,,163,50,103,.485,,,,50,103,.485,.485,10,13,.769,22,28,50,4,3,1,,18,110,1974
88,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1974
89,81,Clem Haskins,SG,30,PHO,81,,1822,364,792,.460,,,,364,792,.460,.460,171,203,.842,78,144,222,259,81,16,,166,899,1974
90,82,John Havlicek*,SF,33,BOS,76,,3091,685,1502,.456,,,,685,1502,.456,.456,346,416,.832,138,349,487,447,95,32,,196,1716,1974
91,83,Connie Hawkins*,SF,31,TOT,79,,2761,404,807,.501,,,,404,807,.501,.501,191,251,.761,176,389,565,407,113,81,,223,999,1974
92,83,Connie Hawkins*,SF,31,PHO,8,,223,36,74,.486,,,,36,74,.486,.486,18,27,.667,14,29,43,28,8,3,,20,90,1974
93,83,Connie Hawkins*,SF,31,LAL,71,,2538,368,733,.502,,,,368,733,.502,.502,173,224,.772,162,360,522,379,105,78,,203,909,1974
94,84,Nate Hawthorne,SG,24,LAL,33,,229,38,93,.409,,,,38,93,.409,.409,30,48,.625,16,16,32,23,9,6,,33,106,1974
95,85,Elvin Hayes*,PF,28,CAP,81,,3602,689,1627,.423,,,,689,1627,.423,.423,357,495,.721,354,1109,1463,163,86,240,,252,1735,1974
96,86,Spencer Haywood*,PF,24,SEA,75,,3039,694,1520,.457,,,,694,1520,.457,.457,373,458,.814,318,689,1007,240,65,106,,198,1761,1974
97,87,Walt Hazzard,PG,31,SEA,49,,571,76,180,.422,,,,76,180,.422,.422,34,45,.756,18,39,57,122,26,6,,78,186,1974
