,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Stacey Arceneaux,F,25,STL,7,,110,22,56,.393,,,,22,56,.393,.393,6,13,.462,,,32,4,,,,10,50,1962
1,2,Paul Arizin*,SF,33,PHW,78,,2785,611,1490,.410,,,,611,1490,.410,.410,484,601,.805,,,527,201,,,,307,1706,1962
2,3,Al Attles*,PG,25,PHW,75,,2468,343,724,.474,,,,343,724,.474,.474,158,267,.592,,,355,333,,,,279,844,1962
3,4,Elgin Baylor*,SF,27,LAL,48,,2129,680,1588,.428,,,,680,1588,.428,.428,476,631,.754,,,892,222,,,,155,1836,1962
4,5,Walt Bellamy*,C,22,CHP,79,,3344,973,1875,.519,,,,973,1875,.519,.519,549,853,.644,,,1500,210,,,,281,2495,1962
5,6,Al Bianchi,PG,29,SYR,80,,1925,336,847,.397,,,,336,847,.397,.397,154,221,.697,,,281,263,,,,232,826,1962
6,7,George Blaney,PG,22,NYK,36,,363,54,142,.380,,,,54,142,.380,.380,9,17,.529,,,36,45,,,,34,117,1962
7,8,Bucky Bockhorn,SG,28,CIN,80,,3062,531,1234,.430,,,,531,1234,.430,.430,198,251,.789,,,376,366,,,,280,1260,1962
8,9,George Bon Salle,PF,26,CHP,3,,9,2,8,.250,,,,2,8,.250,.250,0,0,,,,2,0,,,,0,4,1962
9,10,Bob Boozer,PF,24,CIN,79,,2488,410,936,.438,,,,410,936,.438,.438,263,372,.707,,,804,130,,,,275,1083,1962
10,11,Carl Braun*,PG,34,BOS,48,,414,78,207,.377,,,,78,207,.377,.377,20,27,.741,,,50,71,,,,49,176,1962
11,12,Joe Buckhalter,PF,24,CIN,63,,728,153,334,.458,,,,153,334,.458,.458,67,108,.620,,,262,43,,,,123,373,1962
12,13,Cleveland Buckner,PF,23,NYK,62,,696,158,367,.431,,,,158,367,.431,.431,83,133,.624,,,236,39,,,,114,399,1962
13,14,Dave Budd,SF,23,NYK,79,,1370,188,431,.436,,,,188,431,.436,.436,138,231,.597,,,345,86,,,,162,514,1962
14,15,Ed Burton,F,22,NYK,8,,28,7,14,.500,,,,7,14,.500,.500,1,4,.250,,,5,1,,,,3,15,1962
15,16,Donnie Butcher,PG,25,NYK,47,,479,48,155,.310,,,,48,155,.310,.310,42,69,.609,,,79,51,,,,63,138,1962
16,17,Al Butler,PG,23,TOT,59,,2016,349,754,.463,,,,349,754,.463,.463,129,182,.709,,,337,205,,,,156,827,1962
17,17,Al Butler,PG,23,BOS,5,,47,13,29,.448,,,,13,29,.448,.448,5,6,.833,,,13,4,,,,9,31,1962
18,17,Al Butler,PG,23,NYK,54,,1969,336,725,.463,,,,336,725,.463,.463,124,176,.705,,,324,201,,,,147,796,1962
19,18,Barney Cable,SF,26,TOT,67,,1861,305,749,.407,,,,305,749,.407,.407,118,181,.652,,,563,115,,,,211,728,1962
20,18,Barney Cable,SF,26,CHP,15,,498,82,217,.378,,,,82,217,.378,.378,42,59,.712,,,83,31,,,,55,206,1962
21,18,Barney Cable,SF,26,STL,52,,1363,223,532,.419,,,,223,532,.419,.419,76,122,.623,,,480,84,,,,156,522,1962
22,19,Howie Carl,PG,23,CHP,31,,382,67,201,.333,,,,67,201,.333,.333,36,51,.706,,,39,57,,,,41,170,1962
23,20,Wilt Chamberlain*,C,25,PHW,80,,3882,1597,3159,.506,,,,1597,3159,.506,.506,835,1363,.613,,,2052,192,,,,123,4029,1962
24,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1962
25,21,Ed Conlin,SG,28,PHW,70,,963,128,371,.345,,,,128,371,.345,.345,66,89,.742,,,155,85,,,,118,322,1962
26,22,Larry Costello,PG,30,SYR,63,,1854,310,726,.427,,,,310,726,.427,.427,247,295,.837,,,245,359,,,,220,867,1962
27,23,Bob Cousy*,PG,33,BOS,75,,2114,462,1181,.391,,,,462,1181,.391,.391,251,333,.754,,,261,584,,,,135,1175,1962
28,24,Jimmy Darrow,G,24,STL,5,,34,3,15,.200,,,,3,15,.200,.200,6,7,.857,,,7,6,,,,9,12,1962
