,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Bud Acton,SF,26,SDR,23,,195,29,74,.392,,,,29,74,.392,.392,19,29,.655,,,47,11,,,,35,77,1968
1,2,Henry Akin,C,23,SEA,36,,259,46,137,.336,,,,46,137,.336,.336,20,31,.645,,,57,14,,,,48,112,1968
2,3,Cliff Anderson,SG,23,LAL,18,,94,7,29,.241,,,,7,29,.241,.241,12,28,.429,,,11,17,,,,18,26,1968
3,4,Al Attles*,PG,31,SFW,67,,1992,252,540,.467,,,,252,540,.467,.467,150,216,.694,,,276,390,,,,284,654,1968
4,5,Jim Barnes,PF,26,TOT,79,,1425,221,499,.443,,,,221,499,.443,.443,133,191,.696,,,415,55,,,,262,575,1968
5,5,Jim Barnes,PF,26,LAL,42,,713,101,235,.430,,,,101,235,.430,.430,59,88,.670,,,211,27,,,,134,261,1968
6,5,Jim Barnes,PF,26,CHI,37,,712,120,264,.455,,,,120,264,.455,.455,74,103,.718,,,204,28,,,,128,314,1968
7,6,Dick Barnett,SG,31,NYK,81,,2488,559,1159,.482,,,,559,1159,.482,.482,343,440,.780,,,238,242,,,,222,1461,1968
8,7,Jim Barnett,SG,23,SDR,47,,1068,179,456,.393,,,,179,456,.393,.393,84,118,.712,,,155,134,,,,101,442,1968
9,8,John Barnhill,PG,29,SDR,75,,1883,295,700,.421,,,,295,700,.421,.421,154,234,.658,,,173,259,,,,143,744,1968
10,9,Elgin Baylor*,SF,33,LAL,77,,3029,757,1709,.443,,,,757,1709,.443,.443,488,621,.786,,,941,355,,,,232,2002,1968
11,10,Zelmo Beaty*,C,28,STL,82,,3068,639,1310,.488,,,,639,1310,.488,.488,455,573,.794,,,959,174,,,,295,1733,1968
12,11,Walt Bellamy*,C,28,NYK,82,,2695,511,944,.541,,,,511,944,.541,.541,350,529,.662,,,961,164,,,,259,1372,1968
13,12,Dave Bing*,PG,24,DET,79,,3209,835,1893,.441,,,,835,1893,.441,.441,472,668,.707,,,373,509,,,,254,2142,1968
