,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Gary Alcorn,C,24,LAL,20,,174,12,40,.300,,,,12,40,.300,.300,7,8,.875,,,50,2,,,,47,31,1961
1,2,Paul Arizin*,SF,32,PHW,79,,2935,650,1529,.425,,,,650,1529,.425,.425,532,639,.833,,,681,188,,,,335,1832,1961
2,3,Al Attles*,PG,24,PHW,77,,1544,222,543,.409,,,,222,543,.409,.409,97,162,.599,,,214,174,,,,235,541,1961
3,4,Dick Barnett,SG,24,SYR,78,,2070,540,1194,.452,,,,540,1194,.452,.452,240,337,.712,,,283,218,,,,169,1320,1961
4,5,Elgin Baylor*,SF,26,LAL,73,,3133,931,2166,.430,,,,931,2166,.430,.430,676,863,.783,,,1447,371,,,,279,2538,1961
5,6,Ernie Beck,SG,29,TOT,10,,82,10,29,.345,,,,10,29,.345,.345,6,7,.857,,,23,15,,,,10,26,1961
6,6,Ernie Beck,SG,29,STL,7,,62,7,21,.333,,,,7,21,.333,.333,5,5,1.000,,,12,13,,,,6,19,1961
7,6,Ernie Beck,SG,29,SYR,3,,20,3,8,.375,,,,3,8,.375,.375,1,2,.500,,,11,2,,,,4,7,1961
8,7,Whitey Bell,PG,28,NYK,5,,45,7,18,.389,,,,7,18,.389,.389,1,3,.333,,,7,1,,,,7,15,1961
9,8,Al Bianchi,PG,28,SYR,52,,667,118,342,.345,,,,118,342,.345,.345,60,87,.690,,,105,93,,,,137,296,1961
10,9,Bucky Bockhorn,SG,27,CIN,79,,2669,420,1059,.397,,,,420,1059,.397,.397,152,208,.731,,,434,338,,,,282,992,1961
11,10,Bob Boozer,PF,23,CIN,79,,1573,250,603,.415,,,,250,603,.415,.415,166,247,.672,,,488,109,,,,193,666,1961
12,11,Carl Braun*,PG,33,NYK,15,,218,37,79,.468,,,,37,79,.468,.468,11,14,.786,,,31,48,,,,29,85,1961
13,12,Dave Budd,SF,22,NYK,61,,1075,156,361,.432,,,,156,361,.432,.432,87,134,.649,,,297,45,,,,171,399,1961
14,13,Barney Cable,SF,25,SYR,75,,1642,266,574,.463,,,,266,574,.463,.463,73,108,.676,,,469,85,,,,246,605,1961
15,14,Wilt Chamberlain*,C,24,PHW,79,,3773,1251,2457,.509,,,,1251,2457,.509,.509,531,1054,.504,,,2149,148,,,,130,3033,1961
16,15,Gene Conley,PF,30,BOS,75,,1242,183,495,.370,,,,183,495,.370,.370,106,153,.693,,,550,40,,,,275,472,1961
17,16,Ed Conlin,SF,27,PHW,77,,1294,216,599,.361,,,,216,599,.361,.361,104,139,.748,,,262,123,,,,153,536,1961
18,17,Larry Costello,PG,29,SYR,75,,2167,407,844,.482,,,,407,844,.482,.482,270,338,.799,,,292,413,,,,286,1084,1961
19,18,Bob Cousy*,PG,32,BOS,76,,2468,513,1382,.371,,,,513,1382,.371,.371,352,452,.779,,,331,587,,,,196,1378,1961
20,19,Ralph Davis,SG,22,CIN,73,,1210,181,451,.401,,,,181,451,.401,.401,34,52,.654,,,86,177,,,,127,396,1961
21,20,Archie Dees,C,24,DET,28,,308,53,135,.393,,,,53,135,.393,.393,39,47,.830,,,94,17,,,,50,145,1961
22,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1961
23,21,Walter Dukes,C,30,DET,73,,2044,286,706,.405,,,,286,706,.405,.405,281,400,.703,,,1028,139,,,,313,853,1961
24,22,Wayne Embry*,C,23,CIN,79,,2233,458,1015,.451,,,,458,1015,.451,.451,221,331,.668,,,864,127,,,,286,1137,1961
25,23,Mike Farmer,SF,24,TOT,59,,1301,180,461,.390,,,,180,461,.390,.390,69,94,.734,,,380,81,,,,130,429,1961
26,23,Mike Farmer,SF,24,NYK,2,,6,0,1,.000,,,,0,1,.000,.000,0,0,,,,2,0,,,,2,0,1961
27,23,Mike Farmer,SF,24,CIN,57,,1295,180,460,.391,,,,180,460,.391,.391,69,94,.734,,,378,81,,,,128,429,1961
28,24,Ray Felix,C,30,LAL,78,,1510,189,508,.372,,,,189,508,.372,.372,135,193,.699,,,539,37,,,,302,513,1961
29,25,Al Ferrari,SG,27,STL,63,,1031,117,328,.357,,,,117,328,.357,.357,95,116,.819,,,115,143,,,,157,329,1961
30,26,Bob Ferry,C,23,DET,79,,1657,350,776,.451,,,,350,776,.451,.451,189,255,.741,,,500,129,,,,205,889,1961
31,27,Larry Foust,C,32,STL,68,,1208,194,489,.397,,,,194,489,.397,.397,164,208,.788,,,389,77,,,,185,552,1961
32,28,Dave Gambee,SF,23,SYR,79,,2090,397,947,.419,,,,397,947,.419,.419,291,352,.827,,,581,101,,,,276,1085,1961
33,29,Dick Garmaker,PG,28,NYK,71,,2238,415,943,.440,,,,415,943,.440,.440,275,358,.768,,,277,220,,,,240,1105,1961
34,30,Jack George,PG,32,NYK,16,,268,31,93,.333,,,,31,93,.333,.333,20,30,.667,,,32,39,,,,37,82,1961
35,31,Tom Gola*,SG,28,PHW,74,,2712,420,940,.447,,,,420,940,.447,.447,210,281,.747,,,692,292,,,,321,1050,1961
36,32,Joe Graboski,PF,31,PHW,68,,1011,169,507,.333,,,,169,507,.333,.333,127,183,.694,,,262,74,,,,148,465,1961
37,33,Johnny Green,PF,27,NYK,78,,1784,326,758,.430,,,,326,758,.430,.430,145,278,.522,,,838,97,,,,194,797,1961
