,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Forest Able,G,24,SYR,1,,1,0,2,.000,,,,0,2,.000,.000,0,0,,,,1,1,,,,1,0,1957
1,2,Paul Arizin*,SF,28,PHW,71,,2767,613,1451,.422,,,,613,1451,.422,.422,591,713,.829,,,561,150,,,,274,1817,1957
2,3,Bob Armstrong,C-F,23,PHW,19,,110,11,37,.297,,,,11,37,.297,.297,6,12,.500,,,39,3,,,,13,28,1957
3,4,Jim Baechtold,SF,29,NYK,45,,462,75,197,.381,,,,75,197,.381,.381,66,88,.750,,,80,33,,,,39,216,1957
4,5,John Barber,F,29,STL,5,,19,2,8,.250,,,,2,8,.250,.250,3,6,.500,,,6,0,,,,4,7,1957
5,6,Ernie Beck,SG,25,PHW,72,,1743,195,508,.384,,,,195,508,.384,.384,111,157,.707,,,312,190,,,,155,501,1957
6,7,Irv Bemoras,SF,26,STL,62,,983,124,385,.322,,,,124,385,.322,.322,70,103,.680,,,127,46,,,,76,318,1957
7,8,Gary Bergen,C,24,NYK,6,,40,3,11,.273,,,,3,11,.273,.273,2,2,1.000,,,8,1,,,,4,8,1957
8,9,Al Bianchi,PG,24,SYR,68,,1577,199,567,.351,,,,199,567,.351,.351,165,239,.690,,,227,106,,,,198,563,1957
9,10,Carl Braun*,PG,29,NYK,72,,2345,378,993,.381,,,,378,993,.381,.381,245,303,.809,,,259,256,,,,195,1001,1957
10,11,Bob Burrow,C,22,ROC,67,,1028,137,366,.374,,,,137,366,.374,.374,130,211,.616,,,293,41,,,,165,404,1957
11,12,Nat Clifton*,PF,34,NYK,71,,2231,308,818,.377,,,,308,818,.377,.377,146,217,.673,,,557,164,,,,243,762,1957
12,13,Jack Coleman,PF,32,STL,72,,2145,316,775,.408,,,,316,775,.408,.408,123,161,.764,,,645,159,,,,235,755,1957
13,14,Ed Conlin,SG,23,SYR,71,,2250,335,896,.374,,,,335,896,.374,.374,283,368,.769,,,430,205,,,,170,953,1957
14,15,Larry Costello,PG,25,PHW,72,,2111,186,497,.374,,,,186,497,.374,.374,175,222,.788,,,323,236,,,,182,547,1957
15,16,Bob Cousy*,PG,28,BOS,64,,2364,478,1264,.378,,,,478,1264,.378,.378,363,442,.821,,,309,478,,,,134,1319,1957
16,17,Walt Davis,PF,26,PHW,65,,1250,178,437,.407,,,,178,437,.407,.407,74,106,.698,,,306,52,,,,235,430,1957
17,18,George Dempsey,PG,27,PHW,71,,1147,134,302,.444,,,,134,302,.444,.444,55,102,.539,,,251,136,,,,107,323,1957
18,19,Corky Devlin,SG,25,FTW,71,,1242,190,502,.378,,,,190,502,.378,.378,97,143,.678,,,146,141,,,,114,477,1957
19,20,Walter Dukes,C,26,MNL,71,,1866,228,626,.364,,,,228,626,.364,.364,264,383,.689,,,794,54,,,,273,720,1957
