,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Zaid Abdul-Aziz,C,25,SEA,58,,1780,322,751,.429,,,,322,751,.429,.429,154,214,.720,,,654,124,,,,178,798,1972
1,2,Kareem Abdul-Jabbar*,C,24,MIL,81,,3583,1159,2019,.574,,,,1159,2019,.574,.574,504,732,.689,,,1346,370,,,,235,2822,1972
2,3,Don Adams,SF,24,TOT,73,,2071,313,798,.392,,,,313,798,.392,.392,205,275,.745,,,502,140,,,,266,831,1972
3,3,Don Adams,SF,24,HOU,3,,41,6,19,.316,,,,6,19,.316,.316,1,2,.500,,,8,3,,,,7,13,1972
4,3,Don Adams,SF,24,ATL,70,,2030,307,779,.394,,,,307,779,.394,.394,204,273,.747,,,494,137,,,,259,818,1972
5,4,Rick Adelman,PG,25,POR,80,,2445,329,753,.437,,,,329,753,.437,.437,151,201,.751,,,229,413,,,,209,809,1972
6,5,Lucius Allen,PG,24,MIL,80,,2316,441,874,.505,,,,441,874,.505,.505,198,259,.764,,,254,333,,,,214,1080,1972
7,6,Odis Allison,SF,22,GSW,36,,166,17,78,.218,,,,17,78,.218,.218,33,61,.541,,,45,10,,,,34,67,1972
8,7,Tiny Archibald*,PG,23,CIN,76,,3272,734,1511,.486,,,,734,1511,.486,.486,677,824,.822,,,222,701,,,,198,2145,1972
9,8,Dennis Awtrey,C,23,PHI,58,,794,98,222,.441,,,,98,222,.441,.441,49,76,.645,,,248,51,,,,141,245,1972
10,9,Dick Barnett,SG,35,NYK,79,,2256,401,918,.437,,,,401,918,.437,.437,162,215,.753,,,153,198,,,,229,964,1972
11,10,Jim Barnett,PG,27,GSW,80,,2200,374,915,.409,,,,374,915,.409,.409,244,292,.836,,,250,309,,,,189,992,1972
12,11,Vic Bartolome,C,23,GSW,38,,165,15,59,.254,,,,15,59,.254,.254,4,5,.800,,,60,3,,,,22,34,1972
13,12,Elgin Baylor*,SF,37,LAL,9,,239,42,97,.433,,,,42,97,.433,.433,22,27,.815,,,57,18,,,,20,106,1972
14,13,Butch Beard,PG,24,CLE,68,,2434,394,849,.464,,,,394,849,.464,.464,260,342,.760,,,276,456,,,,213,1048,1972
15,14,Walt Bellamy*,C,32,ATL,82,,3187,593,1089,.545,,,,593,1089,.545,.545,340,581,.585,,,1049,262,,,,255,1526,1972
16,15,Dave Bing*,PG,28,DET,45,,1936,369,891,.414,,,,369,891,.414,.414,278,354,.785,,,186,317,,,,138,1016,1972
17,16,John Block,PF,27,MIL,79,,1524,233,530,.440,,,,233,530,.440,.440,206,275,.749,,,410,95,,,,213,672,1972
18,17,Tom Boerwinkle,C,26,CHI,80,,2022,219,500,.438,,,,219,500,.438,.438,118,180,.656,,,897,281,,,,253,556,1972
19,18,Bill Bradley*,SF,28,NYK,78,,2780,504,1085,.465,,,,504,1085,.465,.465,169,199,.849,,,250,315,,,,254,1177,1972
20,19,Bill Bridges,PF,32,TOT,78,,2756,379,779,.487,,,,379,779,.487,.487,222,316,.703,,,1051,198,,,,269,980,1972
21,19,Bill Bridges,PF,32,ATL,14,,546,51,134,.381,,,,51,134,.381,.381,31,44,.705,,,190,40,,,,50,133,1972
22,19,Bill Bridges,PF,32,PHI,64,,2210,328,645,.509,,,,328,645,.509,.509,191,272,.702,,,861,158,,,,219,847,1972
23,20,Fred Brown,SG,23,SEA,33,,359,59,180,.328,,,,59,180,.328,.328,22,29,.759,,,37,60,,,,44,140,1972
24,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1972
25,21,Em Bryant,PG,33,BUF,54,,1223,101,220,.459,,,,101,220,.459,.459,75,125,.600,,,127,206,,,,167,277,1972
