,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Don Ackerman,PG,23,NYK,28,,220,14,63,.222,,,,14,63,.222,.222,15,28,.536,,,15,23,,,,43,43,1954
1,2,Don Asmonga,G,25,BLB,7,,46,2,15,.133,,,,2,15,.133,.133,1,1,1.000,,,1,5,,,,12,5,1954
2,3,Jim Baechtold,SF,26,NYK,70,,1627,170,465,.366,,,,170,465,.366,.366,134,177,.757,,,183,117,,,,195,474,1954
3,4,Don Barksdale*,PF,30,BOS,63,,1358,156,415,.376,,,,156,415,.376,.376,149,225,.662,,,345,117,,,,213,461,1954
4,5,Leo Barnhorst,SF,29,TOT,72,,2064,199,588,.338,,,,199,588,.338,.338,63,88,.716,,,297,226,,,,203,461,1954
5,5,Leo Barnhorst,SF,29,BLB,55,,1879,187,531,.352,,,,187,531,.352,.352,58,82,.707,,,,214,,,,173,432,1954
6,5,Leo Barnhorst,SF,29,FTW,17,,185,12,57,.211,,,,12,57,.211,.211,5,6,.833,,,,12,,,,30,29,1954
7,6,Ernie Barrett,SG,24,BOS,59,,641,60,191,.314,,,,60,191,.314,.314,14,25,.560,,,100,55,,,,116,134,1954
8,7,Ernie Beck,SG,22,PHW,15,,422,39,142,.275,,,,39,142,.275,.275,34,43,.791,,,50,34,,,,29,112,1954
9,8,Irv Bemoras,SF,23,MLH,69,,1496,185,505,.366,,,,185,505,.366,.366,139,208,.668,,,214,79,,,,152,509,1954
10,9,Bill Bolger,SF,22,BLB,20,,202,24,59,.407,,,,24,59,.407,.407,8,13,.615,,,36,11,,,,27,56,1954
11,10,Vince Boryla,SF,26,NYK,52,,1522,175,525,.333,,,,175,525,.333,.333,70,81,.864,,,130,77,,,,128,420,1954
12,11,Bob Brannum,PF,27,BOS,71,,1729,140,453,.309,,,,140,453,.309,.309,129,206,.626,,,509,144,,,,280,409,1954
13,12,Carl Braun*,SG,26,NYK,72,,2373,354,884,.400,,,,354,884,.400,.400,354,429,.825,,,246,209,,,,259,1062,1954
14,13,Frankie Brian,SG,30,FTW,64,,973,132,352,.375,,,,132,352,.375,.375,137,182,.753,,,79,92,,,,100,401,1954
15,14,Bill Calhoun,SF,26,MLH,72,,2370,190,545,.349,,,,190,545,.349,.349,214,292,.733,,,274,189,,,,151,594,1954
16,15,Cal Christensen,SF,26,ROC,70,,1654,137,395,.347,,,,137,395,.347,.347,138,261,.529,,,395,107,,,,196,412,1954
