,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Paul Arizin*,SF,23,PHW,66,,2939,548,1222,.448,,,,548,1222,.448,.448,578,707,.818,,,745,170,,,,250,1674,1952
1,2,Cliff Barker,SG,31,INO,44,,494,48,161,.298,,,,48,161,.298,.298,30,51,.588,,,81,70,,,,56,126,1952
2,3,Don Barksdale*,PF,28,BLB,62,,2014,272,804,.338,,,,272,804,.338,.338,237,343,.691,,,601,137,,,,230,781,1952
3,4,Leo Barnhorst,SF,27,INO,66,,2344,349,897,.389,,,,349,897,.389,.389,122,187,.652,,,430,255,,,,196,820,1952
4,5,Elmer Behnke,C,22,MLH,4,,55,6,22,.273,,,,6,22,.273,.273,4,7,.571,,,17,4,,,,13,16,1952
5,6,Charlie Black,F-C,30,MLH,13,,117,6,31,.194,,,,6,31,.194,.194,5,12,.417,,,31,9,,,,31,17,1952
6,7,Nelson Bobb,PG,27,PHW,62,,1192,110,306,.359,,,,110,306,.359,.359,99,167,.593,,,147,168,,,,182,319,1952
7,8,Vince Boryla,SF,24,NYK,42,,1440,202,522,.387,,,,202,522,.387,.387,96,115,.835,,,219,90,,,,121,500,1952
8,9,Don Boven,SG,26,MLH,66,,1982,200,668,.299,,,,200,668,.299,.299,256,350,.731,,,336,177,,,,271,656,1952
9,10,Bob Brannum,PF,25,BOS,66,,1324,149,404,.369,,,,149,404,.369,.369,107,171,.626,,,406,76,,,,235,405,1952
10,11,Frankie Brian,SG,28,FTW,66,,2672,342,972,.352,,,,342,972,.352,.352,367,433,.848,,,232,233,,,,220,1051,1952
11,12,Stan Brown,F,22,PHW,15,,141,22,63,.349,,,,22,63,.349,.349,10,18,.556,,,17,9,,,,32,54,1952
12,13,Walt Budko,PF,26,PHW,63,,1126,97,240,.404,,,,97,240,.404,.404,60,89,.674,,,232,91,,,,196,254,1952
13,14,Art Burris,SF,27,TOT,41,,514,42,156,.269,,,,42,156,.269,.269,26,39,.667,,,99,27,,,,69,110,1952
14,14,Art Burris,SF,27,FTW,29,,245,18,75,.240,,,,18,75,.240,.240,7,12,.583,,,49,11,,,,39,43,1952
15,14,Art Burris,SF,27,MLH,12,,269,24,81,.296,,,,24,81,.296,.296,19,27,.704,,,50,16,,,,30,67,1952
16,15,Gerry Calabrese,SG,26,SYR,58,,937,109,317,.344,,,,109,317,.344,.344,73,103,.709,,,84,83,,,,107,291,1952
17,16,Bill Calhoun,SG,24,BLB,55,,1594,129,409,.315,,,,129,409,.315,.315,125,183,.683,,,252,117,,,,84,383,1952
18,17,Al Cervi*,PG,34,SYR,55,,850,99,280,.354,,,,99,280,.354,.354,219,248,.883,,,87,148,,,,176,417,1952
19,18,Cal Christensen,SF,24,MLH,24,,374,29,96,.302,,,,29,96,.302,.302,30,57,.526,,,82,34,,,,47,88,1952
20,19,Nat Clifton*,PF,29,NYK,62,,2101,244,729,.335,,,,244,729,.335,.335,170,256,.664,,,731,209,,,,227,658,1952
21,20,Bill Closs,SF,30,FTW,57,,1120,120,389,.308,,,,120,389,.308,.308,107,157,.682,,,204,76,,,,125,347,1952
22,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1952
23,21,Jack Coleman,PF,27,ROC,66,,2606,308,742,.415,,,,308,742,.415,.415,120,169,.710,,,692,208,,,,218,736,1952
24,22,Chuck Cooper*,SF,25,BOS,66,,1976,197,545,.361,,,,197,545,.361,.361,149,201,.741,,,502,134,,,,219,543,1952
25,23,Bob Cousy*,PG,23,BOS,66,,2681,512,1388,.369,,,,512,1388,.369,.369,409,506,.808,,,421,441,,,,190,1433,1952
26,24,Dillard Crocker,PF,27,TOT,38,,783,98,279,.351,,,,98,279,.351,.351,97,145,.669,,,111,57,,,,132,293,1952
27,24,Dillard Crocker,PF,27,INO,6,,23,2,5,.400,,,,2,5,.400,.400,5,6,.833,,,3,0,,,,6,9,1952
28,24,Dillard Crocker,PF,27,MLH,32,,760,96,274,.350,,,,96,274,.350,.350,92,139,.662,,,108,57,,,,126,284,1952
29,25,Ed Dahler,F,26,PHW,14,,112,14,38,.368,,,,14,38,.368,.368,7,7,1.000,,,22,5,,,,16,35,1952
30,26,Bob Davies*,PG,32,ROC,65,,2394,379,990,.383,,,,379,990,.383,.383,294,379,.776,,,189,390,,,,269,1052,1952
31,27,Nate DeLong,C,26,MLH,17,,132,20,42,.476,,,,20,42,.476,.476,24,35,.686,,,31,14,,,,47,64,1952
32,28,Dick Dickey,PG,25,BOS,45,,440,40,136,.294,,,,40,136,.294,.294,47,69,.681,,,81,50,,,,79,127,1952
33,29,Bob Donham,SG,25,BOS,66,,1980,201,413,.487,,,,201,413,.487,.487,149,293,.509,,,330,228,,,,223,551,1952
34,30,Dike Eddleman,SF,29,TOT,66,,1904,270,813,.332,,,,270,813,.332,.332,203,332,.611,,,269,135,,,,252,743,1952
35,30,Dike Eddleman,SF,29,MLH,50,,1616,227,700,.324,,,,227,700,.324,.324,185,293,.631,,,232,112,,,,193,639,1952
36,30,Dike Eddleman,SF,29,FTW,16,,288,43,113,.381,,,,43,113,.381,.381,18,39,.462,,,37,23,,,,59,104,1952
37,31,Jake Fendley,SG,22,FTW,58,,651,54,170,.318,,,,54,170,.318,.318,75,95,.789,,,80,58,,,,118,183,1952
38,32,Larry Foust,C,23,FTW,66,,2615,390,989,.394,,,,390,989,.394,.394,267,394,.678,,,880,200,,,,245,1047,1952
39,33,Jerry Fowler,C,24,MLH,6,,41,4,13,.308,,,,4,13,.308,.308,1,4,.250,,,10,2,,,,9,9,1952
40,34,Joe Fulks*,PF,30,PHW,61,,1904,336,1078,.312,,,,336,1078,.312,.312,250,303,.825,,,368,123,,,,255,922,1952
41,35,Bill Gabor,SG,29,SYR,57,,1085,173,538,.322,,,,173,538,.322,.322,142,183,.776,,,93,86,,,,188,488,1952
42,36,Harry Gallatin*,PF,24,NYK,66,,1931,233,527,.442,,,,233,527,.442,.442,275,341,.806,,,661,115,,,,223,741,1952
43,37,Vern Gardner,SG,26,PHW,27,,507,72,194,.371,,,,72,194,.371,.371,15,23,.652,,,112,37,,,,60,159,1952
44,38,Joe Graboski,C,22,INO,66,,2439,320,827,.387,,,,320,827,.387,.387,264,396,.667,,,655,130,,,,254,904,1952
45,39,Alex Hannum*,PF,28,TOT,66,,1508,170,462,.368,,,,170,462,.368,.368,98,138,.710,,,336,133,,,,271,438,1952
46,39,Alex Hannum*,PF,28,BLB,35,,,106,300,.353,,,,106,300,.353,.353,56,82,.683,,,193,74,,,,150,268,1952
