,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Henry Akin,PF,22,NYK,50,,453,83,230,.361,,,,83,230,.361,.361,26,37,.703,,,120,25,,,,82,192,1967
1,2,Al Attles*,PG,30,SFW,69,,1764,212,467,.454,,,,212,467,.454,.454,88,151,.583,,,321,269,,,,265,512,1967
2,3,Johnny Austin,SG,22,BAL,4,,61,5,22,.227,,,,5,22,.227,.227,13,16,.813,,,7,4,,,,12,23,1967
3,4,Jim Barnes,PF,25,LAL,80,,1398,217,497,.437,,,,217,497,.437,.437,128,187,.684,,,450,47,,,,266,562,1967
4,5,Dick Barnett,SG,30,NYK,67,,1969,454,949,.478,,,,454,949,.478,.478,231,295,.783,,,226,161,,,,185,1139,1967
5,6,Jim Barnett,SG,22,BOS,48,,383,78,211,.370,,,,78,211,.370,.370,42,62,.677,,,53,41,,,,61,198,1967
6,7,John Barnhill,PG,28,BAL,53,,1214,187,447,.418,,,,187,447,.418,.418,66,103,.641,,,157,136,,,,80,440,1967
7,8,Rick Barry*,SF,22,SFW,78,,3175,1011,2240,.451,,,,1011,2240,.451,.451,753,852,.884,,,714,282,,,,258,2775,1967
8,9,Elgin Baylor*,SF,32,LAL,70,,2706,711,1658,.429,,,,711,1658,.429,.429,440,541,.813,,,898,215,,,,211,1862,1967
9,10,Zelmo Beaty*,C,27,STL,48,,1661,328,694,.473,,,,328,694,.473,.473,197,260,.758,,,515,60,,,,189,853,1967
10,11,Walt Bellamy*,C,27,NYK,79,,3010,565,1084,.521,,,,565,1084,.521,.521,369,580,.636,,,1064,206,,,,275,1499,1967
11,12,Dave Bing*,PG,23,DET,80,,2762,664,1522,.436,,,,664,1522,.436,.436,273,370,.738,,,359,330,,,,217,1601,1967
12,13,John Block,PF,22,LAL,22,,118,20,52,.385,,,,20,52,.385,.385,24,34,.706,,,45,5,,,,20,64,1967
13,14,Bob Boozer,PF,29,CHI,80,,2451,538,1104,.487,,,,538,1104,.487,.487,360,461,.781,,,679,90,,,,212,1436,1967
14,15,Nate Bowman,C,23,CHI,9,,65,8,21,.381,,,,8,21,.381,.381,6,8,.750,,,28,2,,,,18,22,1967
15,16,Bill Bridges,PF,27,STL,79,,3130,503,1106,.455,,,,503,1106,.455,.455,367,523,.702,,,1190,222,,,,325,1373,1967
16,17,Em Bryant,PG,28,NYK,63,,1593,236,577,.409,,,,236,577,.409,.409,74,114,.649,,,273,218,,,,231,546,1967
17,18,Joe Caldwell,SF,25,STL,81,,2256,458,1076,.426,,,,458,1076,.426,.426,200,308,.649,,,442,166,,,,230,1116,1967
18,19,Wilt Chamberlain*,C,30,PHI,81,,3682,785,1150,.683,,,,785,1150,.683,.683,386,875,.441,,,1957,630,,,,143,1956,1967
19,20,Jerry Chambers,SF,23,LAL,69,,1015,224,496,.452,,,,224,496,.452,.452,68,93,.731,,,208,44,,,,143,516,1967
20,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1967
21,21,Len Chappell,C-PF,26,TOT,73,,708,132,313,.422,,,,132,313,.422,.422,53,81,.654,,,189,33,,,,104,317,1967
22,21,Len Chappell,PF,26,CHI,19,,179,40,89,.449,,,,40,89,.449,.449,14,21,.667,,,38,12,,,,31,94,1967
23,21,Len Chappell,C,26,CIN,54,,529,92,224,.411,,,,92,224,.411,.411,39,60,.650,,,151,21,,,,73,223,1967
24,22,Archie Clark,SG,25,LAL,76,,1763,331,732,.452,,,,331,732,.452,.452,136,192,.708,,,218,205,,,,193,798,1967
25,23,Barry Clemens,SF,23,CHI,60,,986,186,444,.419,,,,186,444,.419,.419,68,90,.756,,,201,39,,,,143,440,1967
26,24,Larry Costello,PG,35,PHI,49,,976,130,293,.444,,,,130,293,.444,.444,120,133,.902,,,103,140,,,,141,380,1967
27,25,Mel Counts,C,25,TOT,56,,860,177,419,.422,,,,177,419,.422,.422,69,94,.734,,,344,52,,,,183,423,1967
28,25,Mel Counts,C,25,BAL,25,,343,65,167,.389,,,,65,167,.389,.389,29,40,.725,,,155,30,,,,81,159,1967
29,25,Mel Counts,C,25,LAL,31,,517,112,252,.444,,,,112,252,.444,.444,40,54,.741,,,189,22,,,,102,264,1967
30,26,Freddie Crawford,SG,25,NYK,19,,192,44,116,.379,,,,44,116,.379,.379,24,38,.632,,,48,12,,,,39,112,1967
31,27,Billy Cunningham*,SF,23,PHI,81,,2168,556,1211,.459,,,,556,1211,.459,.459,383,558,.686,,,589,205,,,,260,1495,1967
32,28,Dave DeBusschere*,SF,26,DET,78,,2897,531,1278,.415,,,,531,1278,.415,.415,361,512,.705,,,924,216,,,,297,1423,1967
33,29,Dave Deutsch,G,21,NYK,19,,93,6,36,.167,,,,6,36,.167,.167,9,20,.450,,,21,15,,,,17,21,1967
34,30,Connie Dierking,C,30,CIN,77,,1905,291,729,.399,,,,291,729,.399,.399,134,180,.744,,,603,158,,,,251,716,1967
35,31,Johnny Egan,PG,28,BAL,71,,1743,267,624,.428,,,,267,624,.428,.428,185,219,.845,,,180,275,,,,190,719,1967
36,32,Joe Ellis,SF,22,SFW,41,,333,67,164,.409,,,,67,164,.409,.409,19,25,.760,,,112,27,,,,45,153,1967
37,33,Leroy Ellis,C,26,BAL,81,,2938,496,1166,.425,,,,496,1166,.425,.425,211,286,.738,,,970,170,,,,258,1203,1967
38,34,Wayne Embry*,C,29,BOS,72,,729,147,359,.409,,,,147,359,.409,.409,82,144,.569,,,294,42,,,,137,376,1967
39,35,Keith Erickson,SF,22,CHI,76,,1454,235,641,.367,,,,235,641,.367,.367,117,159,.736,,,339,119,,,,199,587,1967
40,36,Bob Ferry,C,29,BAL,51,,991,132,315,.419,,,,132,315,.419,.419,70,110,.636,,,258,92,,,,97,334,1967
41,37,Hank Finkel,C,24,LAL,27,,141,17,47,.362,,,,17,47,.362,.362,7,12,.583,,,64,5,,,,39,41,1967
42,38,Dave Gambee,SF,29,PHI,63,,757,150,345,.435,,,,150,345,.435,.435,107,125,.856,,,197,42,,,,143,407,1967
43,39,Gail Goodrich*,SG,23,LAL,77,,1780,352,776,.454,,,,352,776,.454,.454,253,337,.751,,,251,210,,,,194,957,1967
44,40,Johnny Green,PF,33,BAL,61,,948,203,437,.465,,,,203,437,.465,.465,96,207,.464,,,394,57,,,,139,502,1967
45,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1967
46,41,Hal Greer*,SG,30,PHI,80,,3086,699,1524,.459,,,,699,1524,.459,.459,367,466,.788,,,422,303,,,,302,1765,1967
47,42,Richie Guerin*,SG,34,STL,80,,2275,394,904,.436,,,,394,904,.436,.436,304,416,.731,,,192,345,,,,247,1092,1967
48,43,Matt Guokas,SG,22,PHI,69,,808,79,203,.389,,,,79,203,.389,.389,49,81,.605,,,83,105,,,,82,207,1967
