,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Kareem Abdul-Jabbar*,C,31,LAL,80,,3157,777,1347,.577,,,,777,1347,.577,.577,349,474,.736,207,818,1025,431,76,316,282,230,1903,1979
1,2,Tom Abernethy,PF,24,GSW,70,,1219,176,342,.515,,,,176,342,.515,.515,70,94,.745,74,142,216,79,39,13,32,133,422,1979
2,3,Alvan Adams,C,24,PHO,77,,2364,569,1073,.530,,,,569,1073,.530,.530,231,289,.799,220,485,705,360,110,63,279,246,1369,1979
3,4,Lucius Allen,PG,31,KCK,31,,413,69,174,.397,,,,69,174,.397,.397,19,33,.576,14,32,46,44,21,6,30,52,157,1979
4,5,Kim Anderson,SF,23,POR,21,,224,24,77,.312,,,,24,77,.312,.312,15,28,.536,17,28,45,15,4,5,22,42,63,1979
5,6,Tiny Archibald*,PG,30,BOS,69,,1662,259,573,.452,,,,259,573,.452,.452,242,307,.788,25,78,103,324,55,6,197,132,760,1979
6,7,Tate Armstrong,SG,23,CHI,26,,259,28,70,.400,,,,28,70,.400,.400,10,13,.769,7,13,20,31,10,0,21,22,66,1979
7,8,Dennis Awtrey,C,30,TOT,63,,746,44,107,.411,,,,44,107,.411,.411,41,56,.732,42,109,151,69,16,13,52,106,129,1979
8,8,Dennis Awtrey,C,30,BOS,23,,247,17,44,.386,,,,17,44,.386,.386,16,20,.800,13,34,47,20,3,6,21,37,50,1979
9,8,Dennis Awtrey,C,30,SEA,40,,499,27,63,.429,,,,27,63,.429,.429,25,36,.694,29,75,104,49,13,7,31,69,79,1979
10,9,Gus Bailey,SG,27,NOJ,2,,9,2,7,.286,,,,2,7,.286,.286,0,0,,2,0,2,2,0,0,1,1,4,1979
11,10,Greg Ballard,SF,24,WSB,82,,1552,260,559,.465,,,,260,559,.465,.465,119,172,.692,143,307,450,116,58,30,97,167,639,1979
12,11,Mike Bantom,PF,27,IND,81,,2528,482,1036,.465,,,,482,1036,.465,.465,227,338,.672,225,425,650,223,99,62,193,316,1191,1979
13,12,Tom Barker,C,23,TOT,39,,476,68,156,.436,,,,68,156,.436,.436,27,37,.730,45,74,119,15,10,11,34,76,163,1979
14,12,Tom Barker,C,23,HOU,5,,16,3,6,.500,,,,3,6,.500,.500,2,2,1.000,2,4,6,0,0,0,1,5,8,1979
15,12,Tom Barker,C,23,BOS,12,,131,21,48,.438,,,,21,48,.438,.438,11,15,.733,12,18,30,6,4,4,13,26,53,1979
16,12,Tom Barker,C,23,NYK,22,,329,44,102,.431,,,,44,102,.431,.431,14,20,.700,31,52,83,9,6,7,20,45,102,1979
17,13,Marvin Barnes,PF,26,BOS,38,,796,133,271,.491,,,,133,271,.491,.491,43,66,.652,57,120,177,53,38,39,68,144,309,1979
18,14,Rick Barry*,SF,34,HOU,80,,2566,461,1000,.461,,,,461,1000,.461,.461,160,169,.947,40,237,277,502,95,38,198,195,1082,1979
19,15,Tim Bassett,PF,27,NJN,82,,1508,116,313,.371,,,,116,313,.371,.371,89,131,.679,174,244,418,99,44,29,103,219,321,1979
20,16,Butch Beard,PG,31,NYK,7,,85,11,26,.423,,,,11,26,.423,.423,0,0,,1,9,10,19,7,0,10,13,22,1979
21,17,Ron Behagen,PF,28,TOT,15,,165,28,62,.452,,,,28,62,.452,.452,10,13,.769,13,29,42,7,4,1,11,36,66,1979
22,17,Ron Behagen,PF,28,DET,1,,1,0,0,,,,,0,0,,,0,0,,0,0,0,0,0,0,1,1,0,1979
23,17,Ron Behagen,PF,28,NYK,5,,38,5,12,.417,,,,5,12,.417,.417,2,2,1.000,2,9,11,2,2,0,4,8,12,1979
