,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Jay Arnette,PG,25,CIN,48,,501,71,196,.362,,,,71,196,.362,.362,42,54,.778,,,54,71,,,,105,184,1964
1,2,Al Attles*,PG,27,SFW,70,,1883,289,640,.452,,,,289,640,.452,.452,185,275,.673,,,236,197,,,,249,763,1964
2,3,Dick Barnett,SG,27,LAL,78,,2620,541,1197,.452,,,,541,1197,.452,.452,351,454,.773,,,250,238,,,,233,1433,1964
3,4,John Barnhill,SG,25,STL,74,,1367,208,505,.412,,,,208,505,.412,.412,70,115,.609,,,157,145,,,,107,486,1964
4,5,Elgin Baylor*,SF,29,LAL,78,,3164,756,1778,.425,,,,756,1778,.425,.425,471,586,.804,,,936,347,,,,235,1983,1964
5,6,Zelmo Beaty*,C,24,STL,59,,1922,287,647,.444,,,,287,647,.444,.444,200,270,.741,,,633,79,,,,262,774,1964
6,7,Walt Bellamy*,C,24,BAL,80,,3394,811,1582,.513,,,,811,1582,.513,.513,537,825,.651,,,1361,126,,,,300,2159,1964
7,8,Al Bianchi,PG,31,PHI,78,,1437,257,684,.376,,,,257,684,.376,.376,109,141,.773,,,147,149,,,,248,623,1964
8,9,Bucky Bockhorn,SG,30,CIN,70,,1670,242,587,.412,,,,242,587,.412,.412,96,126,.762,,,205,173,,,,227,580,1964
9,10,Bob Boozer,SF,26,TOT,81,,2379,468,1096,.427,,,,468,1096,.427,.427,272,376,.723,,,596,96,,,,231,1208,1964
10,10,Bob Boozer,SF,26,CIN,32,,727,139,334,.416,,,,139,334,.416,.416,74,119,.622,,,178,33,,,,83,352,1964
11,10,Bob Boozer,SF,26,NYK,49,,1652,329,762,.432,,,,329,762,.432,.432,198,257,.770,,,418,63,,,,148,856,1964
12,11,Bill Bridges,PF,24,STL,80,,1949,268,675,.397,,,,268,675,.397,.397,146,224,.652,,,680,181,,,,269,682,1964
13,12,Dave Budd,SF,25,NYK,73,,1031,128,297,.431,,,,128,297,.431,.431,84,115,.730,,,276,57,,,,130,340,1964
14,13,Donnie Butcher,PG,27,TOT,78,,1971,202,507,.398,,,,202,507,.398,.398,159,256,.621,,,329,244,,,,249,563,1964
15,13,Donnie Butcher,G,27,NYK,26,,418,37,115,.322,,,,37,115,.322,.322,42,66,.636,,,67,66,,,,53,116,1964
16,13,Donnie Butcher,PG,27,DET,52,,1553,165,392,.421,,,,165,392,.421,.421,117,190,.616,,,262,178,,,,196,447,1964
