,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Zaid Abdul-Aziz,C,24,SEA,61,,1276,263,597,.441,,,,263,597,.441,.441,139,188,.739,,,468,42,,,,118,665,1971
1,2,Kareem Abdul-Jabbar*,C,23,MIL,82,,3288,1063,1843,.577,,,,1063,1843,.577,.577,470,681,.690,,,1311,272,,,,264,2596,1971
2,3,Don Adams,SF,23,SDR,82,,2374,391,957,.409,,,,391,957,.409,.409,155,212,.731,,,581,173,,,,344,937,1971
3,4,Rick Adelman,PG,24,POR,81,,2303,378,895,.422,,,,378,895,.422,.422,267,369,.724,,,282,380,,,,214,1023,1971
4,5,Lucius Allen,PG,23,MIL,61,,1162,178,398,.447,,,,178,398,.447,.447,77,110,.700,,,152,161,,,,108,433,1971
5,6,Cliff Anderson,SG,26,TOT,28,,198,20,65,.308,,,,20,65,.308,.308,46,67,.687,,,48,20,,,,29,86,1971
6,6,Cliff Anderson,SG,26,CLE,23,,171,19,59,.322,,,,19,59,.322,.322,41,60,.683,,,37,16,,,,22,79,1971
7,6,Cliff Anderson,SG,26,PHI,5,,27,1,6,.167,,,,1,6,.167,.167,5,7,.714,,,11,4,,,,7,7,1971
8,7,Tiny Archibald*,PG,22,CIN,82,,2867,486,1095,.444,,,,486,1095,.444,.444,336,444,.757,,,242,450,,,,218,1308,1971
9,8,Bob Arnzen,SF,23,CIN,55,,594,128,277,.462,,,,128,277,.462,.462,45,52,.865,,,152,24,,,,54,301,1971
10,9,Al Attles*,PG,34,SFW,34,,321,22,54,.407,,,,22,54,.407,.407,24,41,.585,,,40,58,,,,59,68,1971
11,10,Dennis Awtrey,C,22,PHI,70,,1292,200,421,.475,,,,200,421,.475,.475,104,157,.662,,,430,89,,,,211,504,1971
12,11,Jim Barnes,PF,29,BAL,11,,100,15,28,.536,,,,15,28,.536,.536,7,11,.636,,,16,8,,,,23,37,1971
13,12,Dick Barnett,SG,34,NYK,82,,2843,540,1184,.456,,,,540,1184,.456,.456,193,278,.694,,,238,225,,,,232,1273,1971
14,13,Jim Barnett,SG,26,POR,78,,2371,559,1283,.436,,,,559,1283,.436,.436,326,402,.811,,,376,323,,,,190,1444,1971
15,14,Moe Barr,G,26,CIN,31,,145,25,62,.403,,,,25,62,.403,.403,11,13,.846,,,20,28,,,,27,61,1971
16,15,Johnny Baum,SF,24,CHI,62,,543,123,293,.420,,,,123,293,.420,.420,40,58,.690,,,125,31,,,,55,286,1971
17,16,Elgin Baylor*,SF,36,LAL,2,,57,8,19,.421,,,,8,19,.421,.421,4,6,.667,,,11,2,,,,6,20,1971
18,17,Walt Bellamy*,C,31,ATL,82,,2908,433,879,.493,,,,433,879,.493,.493,336,556,.604,,,1060,230,,,,271,1202,1971
19,18,Dave Bing*,PG,27,DET,82,,3065,799,1710,.467,,,,799,1710,.467,.467,615,772,.797,,,364,408,,,,228,2213,1971
20,19,Tom Black,C,29,TOT,71,,873,121,301,.402,,,,121,301,.402,.402,57,88,.648,,,259,44,,,,136,299,1971
21,19,Tom Black,C,29,SEA,55,,773,111,268,.414,,,,111,268,.414,.414,51,73,.699,,,225,42,,,,116,273,1971
22,19,Tom Black,C,29,CIN,16,,100,10,33,.303,,,,10,33,.303,.303,6,15,.400,,,34,2,,,,20,26,1971
23,20,John Block,PF,26,SDR,73,,1464,245,584,.420,,,,245,584,.420,.420,212,270,.785,,,442,98,,,,193,702,1971
