,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Jim Baechtold,SF,25,BLB,64,,1893,242,621,.390,,,,242,621,.390,.390,177,240,.738,,,219,154,,,,203,661,1953
1,2,Don Barksdale*,PF,29,BLB,65,,2298,321,829,.387,,,,321,829,.387,.387,257,401,.641,,,597,166,,,,273,899,1953
2,3,Leo Barnhorst,SF,28,INO,71,,2871,402,1034,.389,,,,402,1034,.389,.389,163,259,.629,,,483,277,,,,245,967,1953
3,4,Nelson Bobb,PG,28,PHW,55,,1286,119,318,.374,,,,119,318,.374,.374,105,162,.648,,,157,192,,,,161,343,1953
4,5,Vince Boryla,SF,25,NYK,66,,2200,254,686,.370,,,,254,686,.370,.370,165,201,.821,,,233,166,,,,226,673,1953
5,6,Don Boven,SF,27,TOT,67,,1373,153,427,.358,,,,153,427,.358,.358,145,209,.694,,,217,79,,,,227,451,1953
6,6,Don Boven,F-G,27,MLH,27,,667,87,219,.397,,,,87,219,.397,.397,67,107,.626,,,98,35,,,,102,241,1953
7,6,Don Boven,F-G,27,BLB,23,,329,30,97,.309,,,,30,97,.309,.309,46,59,.780,,,61,23,,,,68,106,1953
8,6,Don Boven,SF,27,FTW,17,,377,36,111,.324,,,,36,111,.324,.324,32,43,.744,,,58,21,,,,57,104,1953
9,7,Bob Brannum,PF,26,BOS,71,,1900,188,541,.348,,,,188,541,.348,.348,110,185,.595,,,537,147,,,,287,486,1953
10,8,Jim Brasco,G,21,TOT,20,,248,25,94,.266,,,,25,94,.266,.266,27,34,.794,,,24,21,,,,30,77,1953
11,8,Jim Brasco,G,21,SYR,10,,111,11,48,.229,,,,11,48,.229,.229,11,14,.786,,,15,12,,,,18,33,1953
12,8,Jim Brasco,G,21,MLH,10,,137,14,46,.304,,,,14,46,.304,.304,16,20,.800,,,9,9,,,,12,44,1953
13,9,Carl Braun*,SG,25,NYK,70,,2316,323,807,.400,,,,323,807,.400,.400,331,401,.825,,,233,243,,,,287,977,1953
14,10,Frankie Brian,SG,29,FTW,68,,1910,245,699,.351,,,,245,699,.351,.351,236,297,.795,,,133,142,,,,205,726,1953
15,11,Dick Bunt,PG,22,TOT,26,,271,29,105,.276,,,,29,105,.276,.276,34,48,.708,,,28,17,,,,40,92,1953
16,11,Dick Bunt,PG,22,NYK,14,,146,12,53,.226,,,,12,53,.226,.226,17,25,.680,,,13,10,,,,18,41,1953
17,11,Dick Bunt,PG,22,BLB,12,,125,17,52,.327,,,,17,52,.327,.327,17,23,.739,,,15,7,,,,22,51,1953
18,12,Bill Calhoun,SF,25,TOT,62,,2148,180,534,.337,,,,180,534,.337,.337,211,292,.723,,,277,156,,,,136,571,1953
19,12,Bill Calhoun,F-G,25,SYR,13,,239,16,55,.291,,,,16,55,.291,.291,32,45,.711,,,27,15,,,,20,64,1953
20,12,Bill Calhoun,SF,25,MLH,49,,1909,164,479,.342,,,,164,479,.342,.342,179,247,.725,,,250,141,,,,116,507,1953
21,13,Al Cervi*,PG,35,SYR,38,,301,31,71,.437,,,,31,71,.437,.437,81,100,.810,,,22,28,,,,90,143,1953
22,14,Cal Christensen,SF,25,ROC,59,,777,72,230,.313,,,,72,230,.313,.313,68,114,.596,,,199,54,,,,148,212,1953
23,15,Nat Clifton*,PF,30,NYK,70,,2496,272,794,.343,,,,272,794,.343,.343,200,343,.583,,,761,231,,,,274,744,1953
24,16,Jack Coleman,PF,28,ROC,70,,2625,314,748,.420,,,,314,748,.420,.420,135,208,.649,,,774,231,,,,245,763,1953
25,17,Gene Conley,PF,22,BOS,39,,461,35,108,.324,,,,35,108,.324,.324,18,31,.581,,,171,19,,,,74,88,1953
26,18,Chuck Cooper*,SF,26,BOS,70,,1994,157,466,.337,,,,157,466,.337,.337,144,190,.758,,,439,112,,,,258,458,1953
27,19,Ray Corley,G,25,FTW,8,,65,3,24,.125,,,,3,24,.125,.125,5,6,.833,,,5,5,,,,18,11,1953
28,20,Bob Cousy*,PG,24,BOS,71,,2945,464,1320,.352,,,,464,1320,.352,.352,479,587,.816,,,449,547,,,,227,1407,1953
29,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1953
30,21,Dillard Crocker,PF,28,MLH,61,,776,100,284,.352,,,,100,284,.352,.352,130,189,.688,,,104,63,,,,199,330,1953
31,22,Pete Darcey,C,22,MLH,12,,90,3,18,.167,,,,3,18,.167,.167,5,9,.556,,,10,2,,,,29,11,1953
32,23,Bob Davies*,PG,33,ROC,66,,2216,339,880,.385,,,,339,880,.385,.385,351,466,.753,,,195,280,,,,261,1029,1953
33,24,Blaine Denning,G,22,BLB,1,,9,2,5,.400,,,,2,5,.400,.400,1,1,1.000,,,4,0,,,,3,5,1953
34,25,Bob Donham,SG,26,BOS,71,,1435,169,353,.479,,,,169,353,.479,.479,113,240,.471,,,239,153,,,,213,451,1953
35,26,Dike Eddleman,SF,30,FTW,69,,1571,241,687,.351,,,,241,687,.351,.351,133,237,.561,,,236,104,,,,220,615,1953
36,27,George Feigenbaum,PG,24,MLH,5,,79,4,22,.182,,,,4,22,.182,.182,8,15,.533,,,7,9,,,,14,16,1953
37,28,Jake Fendley,PG,23,FTW,45,,380,32,80,.400,,,,32,80,.400,.400,40,60,.667,,,46,36,,,,82,104,1953
38,29,Danny Finn,SG,24,PHW,31,,1015,135,409,.330,,,,135,409,.330,.330,99,182,.544,,,175,146,,,,124,369,1953
39,30,Jerry Fleishman,SG,30,PHW,33,,882,100,303,.330,,,,100,303,.330,.330,96,140,.686,,,152,108,,,,118,296,1953
40,31,Larry Foust,C,24,FTW,67,,2303,311,865,.360,,,,311,865,.360,.360,336,465,.723,,,769,151,,,,267,958,1953
41,32,Joe Fulks*,PF,31,PHW,70,,2085,332,960,.346,,,,332,960,.346,.346,168,231,.727,,,387,138,,,,319,832,1953
42,33,Bill Gabor,SG,30,SYR,69,,1337,215,614,.350,,,,215,614,.350,.350,217,284,.764,,,104,134,,,,262,647,1953
43,34,Harry Gallatin*,PF,25,NYK,70,,2333,282,635,.444,,,,282,635,.444,.444,301,430,.700,,,916,126,,,,224,865,1953
44,35,Joe Graboski,C,23,INO,69,,2769,272,799,.340,,,,272,799,.340,.340,350,513,.682,,,687,156,,,,303,894,1953
45,36,Dick Groat,PG,22,FTW,26,,663,100,272,.368,,,,100,272,.368,.368,109,138,.790,,,86,69,,,,90,309,1953
46,37,Alex Hannum*,PF,29,ROC,68,,1288,129,360,.358,,,,129,360,.358,.358,88,133,.662,,,279,81,,,,258,346,1953
47,38,Don Hanrahan,F,23,INO,18,,121,11,32,.344,,,,11,32,.344,.344,11,15,.733,,,30,11,,,,24,33,1953
48,39,Bob Harris,SF,25,BOS,70,,1971,192,459,.418,,,,192,459,.418,.418,133,226,.588,,,485,95,,,,238,517,1953
49,40,Bob Harrison,SG,25,MNL,70,,1643,195,518,.376,,,,195,518,.376,.376,107,165,.648,,,153,160,,,,264,497,1953
50,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1953
51,41,Don Henriksen,C,23,BLB,68,,2263,199,475,.419,,,,199,475,.419,.419,176,281,.626,,,506,129,,,,242,574,1953
52,42,Kleggie Hermsen,C-F,29,TOT,10,,62,4,31,.129,,,,4,31,.129,.129,3,5,.600,,,19,4,,,,18,11,1953
53,42,Kleggie Hermsen,C-F,29,BOS,4,,22,0,9,.000,,,,0,9,.000,.000,1,2,.500,,,7,0,,,,6,1,1953
54,42,Kleggie Hermsen,C-F,29,INO,6,,40,4,22,.182,,,,4,22,.182,.182,2,3,.667,,,12,4,,,,12,10,1953
55,43,Lew Hitch,PF,23,MNL,70,,1027,89,255,.349,,,,89,255,.349,.349,83,136,.610,,,275,66,,,,122,261,1953
56,44,Paul Hoffman,SG,27,BLB,69,,1955,240,656,.366,,,,240,656,.366,.366,224,342,.655,,,317,237,,,,282,704,1953
57,45,Jim Holstein,SF,22,MNL,66,,989,98,274,.358,,,,98,274,.358,.358,70,105,.667,,,173,74,,,,128,266,1953
58,46,Red Holzman*,PG,32,ROC,46,,392,38,149,.255,,,,38,149,.255,.255,27,38,.711,,,40,35,,,,56,103,1953
59,47,Mel Hutchins,C,24,MLH,71,,2891,319,842,.379,,,,319,842,.379,.379,193,295,.654,,,793,227,,,,214,831,1953
60,48,Arnie Johnson,SF,32,ROC,70,,1984,140,369,.379,,,,140,369,.379,.379,303,405,.748,,,419,153,,,,282,583,1953
61,49,Ralph Johnson,PG,31,FTW,3,,30,3,9,.333,,,,3,9,.333,.333,2,3,.667,,,1,5,,,,6,8,1953
62,50,Neil Johnston*,C,23,PHW,70,,3166,504,1114,.452,,,,504,1114,.452,.452,556,794,.700,,,976,197,,,,248,1564,1953
63,51,Noble Jorgensen,C,27,SYR,70,,1355,145,436,.333,,,,145,436,.333,.333,146,199,.734,,,236,76,,,,247,436,1953
64,52,George Kaftan,SF,24,BLB,23,,380,45,142,.317,,,,45,142,.317,.317,44,67,.657,,,75,31,,,,59,134,1953
65,53,Jack Kerris,PF,28,TOT,69,,1424,93,256,.363,,,,93,256,.363,.363,88,140,.629,,,295,156,,,,165,274,1953
66,53,Jack Kerris,F-C,28,FTW,52,,982,59,179,.330,,,,59,179,.330,.330,61,99,.616,,,207,108,,,,117,179,1953
67,53,Jack Kerris,PF,28,BLB,17,,442,34,77,.442,,,,34,77,.442,.442,27,41,.659,,,88,48,,,,48,95,1953
68,54,Jack Kiley,SG,24,FTW,6,,27,2,10,.200,,,,2,10,.200,.200,2,2,1.000,,,2,3,,,,7,6,1953
69,55,George King,PG,24,SYR,71,,2519,255,635,.402,,,,255,635,.402,.402,284,442,.643,,,281,364,,,,244,794,1953
70,56,Frank Kudelka,SG,27,TOT,36,,567,59,193,.306,,,,59,193,.306,.306,44,68,.647,,,88,70,,,,109,162,1953
71,56,Frank Kudelka,G-F,27,BLB,16,,227,28,84,.333,,,,28,84,.333,.333,23,36,.639,,,43,29,,,,49,79,1953
72,56,Frank Kudelka,SG,27,PHW,20,,340,31,109,.284,,,,31,109,.284,.284,21,32,.656,,,45,41,,,,60,83,1953
73,57,Bob Lavoy,PF,26,INO,70,,2327,225,560,.402,,,,225,560,.402,.402,168,242,.694,,,528,130,,,,274,618,1953
74,58,Andrew Levane,SG,32,MLH,7,,68,3,24,.125,,,,3,24,.125,.125,2,3,.667,,,9,9,,,,15,8,1953
75,59,Earl Lloyd*,SF,24,SYR,64,,1806,156,453,.344,,,,156,453,.344,.344,160,231,.693,,,444,64,,,,241,472,1953
76,60,Bob Lochmueller,SF,25,SYR,62,,802,79,245,.322,,,,79,245,.322,.322,74,122,.607,,,162,47,,,,143,232,1953
77,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1953
78,61,Don Lofgran,SF,23,PHW,64,,1788,173,525,.330,,,,173,525,.330,.330,126,173,.728,,,339,106,,,,178,472,1953
79,62,Ray Lumpp,PG,29,TOT,55,,1422,188,506,.372,,,,188,506,.372,.372,153,206,.743,,,141,168,,,,178,529,1953
80,62,Ray Lumpp,G,29,NYK,6,,99,8,30,.267,,,,8,30,.267,.267,12,12,1.000,,,22,15,,,,17,28,1953
81,62,Ray Lumpp,PG,29,BLB,49,,1323,180,476,.378,,,,180,476,.378,.378,141,194,.727,,,119,153,,,,161,501,1953
82,63,Ed Macauley*,C,24,BOS,69,,2902,451,997,.452,,,,451,997,.452,.452,500,667,.750,,,629,280,,,,188,1402,1953
83,64,John Mahnken,C,30,BOS,69,,771,76,252,.302,,,,76,252,.302,.302,39,56,.696,,,182,75,,,,110,191,1953
