,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Jay Arnette,G,27,CIN,3,,14,1,6,.167,,,,1,6,.167,.167,0,0,,,,0,0,,,,3,2,1966
1,2,Al Attles*,PG,29,SFW,79,,2053,364,724,.503,,,,364,724,.503,.503,154,252,.611,,,322,225,,,,265,882,1966
2,3,Jim Barnes,PF,24,TOT,73,,2191,348,818,.425,,,,348,818,.425,.425,212,310,.684,,,755,94,,,,283,908,1966
3,3,Jim Barnes,PF,24,NYK,7,,263,40,90,.444,,,,40,90,.444,.444,30,42,.714,,,72,9,,,,33,110,1966
4,3,Jim Barnes,PF,24,BAL,66,,1928,308,728,.423,,,,308,728,.423,.423,182,268,.679,,,683,85,,,,250,798,1966
5,4,Dick Barnett,SG,29,NYK,75,,2589,631,1344,.469,,,,631,1344,.469,.469,467,605,.772,,,310,259,,,,235,1729,1966
6,5,John Barnhill,PG,27,TOT,76,,1617,243,606,.401,,,,243,606,.401,.401,113,184,.614,,,203,196,,,,134,599,1966
7,5,John Barnhill,PG,27,STL,31,,691,104,243,.428,,,,104,243,.428,.428,54,86,.628,,,91,83,,,,58,262,1966
8,5,John Barnhill,PG,27,DET,45,,926,139,363,.383,,,,139,363,.383,.383,59,98,.602,,,112,113,,,,76,337,1966
9,6,Rick Barry*,SF,21,SFW,80,,2990,745,1698,.439,,,,745,1698,.439,.439,569,660,.862,,,850,173,,,,297,2059,1966
10,7,Elgin Baylor*,SF,31,LAL,65,,1975,415,1034,.401,,,,415,1034,.401,.401,249,337,.739,,,621,224,,,,157,1079,1966
11,8,Zelmo Beaty*,C,26,STL,80,,3072,616,1301,.473,,,,616,1301,.473,.473,424,559,.758,,,1086,125,,,,344,1656,1966
12,9,Walt Bellamy*,C,26,TOT,80,,3352,695,1373,.506,,,,695,1373,.506,.506,430,689,.624,,,1254,235,,,,294,1820,1966
13,9,Walt Bellamy*,C,26,BAL,8,,268,56,124,.452,,,,56,124,.452,.452,40,67,.597,,,102,18,,,,32,152,1966
14,9,Walt Bellamy*,C,26,NYK,72,,3084,639,1249,.512,,,,639,1249,.512,.512,390,622,.627,,,1152,217,,,,262,1668,1966
15,10,Al Bianchi,PG,33,PHI,78,,1312,214,560,.382,,,,214,560,.382,.382,66,98,.673,,,134,134,,,,232,494,1966
16,11,Ron Bonham,SG,23,BOS,39,,312,76,207,.367,,,,76,207,.367,.367,52,61,.852,,,35,11,,,,29,204,1966
17,12,Bob Boozer,PF,28,LAL,78,,1847,365,754,.484,,,,365,754,.484,.484,225,289,.779,,,548,87,,,,196,955,1966
18,13,Gary Bradds,SF,23,BAL,3,,15,2,6,.333,,,,2,6,.333,.333,3,4,.750,,,8,1,,,,1,7,1966
19,14,Jesse Branson,SF,24,PHI,5,,14,1,6,.167,,,,1,6,.167,.167,3,4,.750,,,9,1,,,,4,5,1966
20,15,Bill Bridges,PF,26,STL,78,,2677,377,927,.407,,,,377,927,.407,.407,257,364,.706,,,951,208,,,,333,1011,1966
21,16,Em Bryant,PG,27,NYK,71,,1193,212,449,.472,,,,212,449,.472,.472,74,101,.733,,,170,216,,,,215,498,1966
22,17,Bill Buntin,C,23,DET,42,,713,118,299,.395,,,,118,299,.395,.395,88,143,.615,,,252,36,,,,119,324,1966
23,18,Donnie Butcher,PG,29,DET,15,,285,45,96,.469,,,,45,96,.469,.469,18,34,.529,,,33,30,,,,40,108,1966
24,19,Joe Caldwell,SF,24,TOT,79,,1857,411,938,.438,,,,411,938,.438,.438,179,254,.705,,,436,126,,,,203,1001,1966
25,19,Joe Caldwell,SF,24,DET,33,,716,143,338,.423,,,,143,338,.423,.423,60,88,.682,,,190,65,,,,63,346,1966
26,19,Joe Caldwell,SF,24,STL,46,,1141,268,600,.447,,,,268,600,.447,.447,119,166,.717,,,246,61,,,,140,655,1966
27,20,Wilt Chamberlain*,C,29,PHI,79,,3737,1074,1990,.540,,,,1074,1990,.540,.540,501,976,.513,,,1943,414,,,,171,2649,1966
28,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1966
29,21,Len Chappell,PF,25,NYK,46,,545,100,238,.420,,,,100,238,.420,.420,46,78,.590,,,127,26,,,,64,246,1966
30,22,Barry Clemens,SF,22,NYK,70,,877,161,391,.412,,,,161,391,.412,.412,54,78,.692,,,183,67,,,,113,376,1966
31,23,Mel Counts,C,24,BOS,67,,1021,221,549,.403,,,,221,549,.403,.403,120,145,.828,,,432,50,,,,207,562,1966
32,24,Billy Cunningham*,SF,22,PHI,80,,2134,431,1011,.426,,,,431,1011,.426,.426,281,443,.634,,,599,207,,,,301,1143,1966
33,25,Dave DeBusschere*,SF,25,DET,79,,2696,524,1284,.408,,,,524,1284,.408,.408,249,378,.659,,,916,209,,,,252,1297,1966
34,26,Connie Dierking,C,29,CIN,57,,782,134,322,.416,,,,134,322,.416,.416,50,82,.610,,,245,43,,,,113,318,1966
35,27,Johnny Egan,PG,27,TOT,76,,1644,259,574,.451,,,,259,574,.451,.451,173,227,.762,,,183,273,,,,167,691,1966
36,27,Johnny Egan,PG,27,NYK,7,,58,5,16,.313,,,,5,16,.313,.313,7,10,.700,,,2,14,,,,4,17,1966
37,27,Johnny Egan,PG,27,BAL,69,,1586,254,558,.455,,,,254,558,.455,.455,166,217,.765,,,181,259,,,,163,674,1966
38,28,Leroy Ellis,C,25,LAL,80,,2219,393,927,.424,,,,393,927,.424,.424,186,256,.727,,,735,74,,,,232,972,1966
39,29,Wayne Embry*,C,28,CIN,80,,1882,232,564,.411,,,,232,564,.411,.411,141,234,.603,,,525,81,,,,287,605,1966
40,30,Keith Erickson,SF,21,SFW,64,,646,95,267,.356,,,,95,267,.356,.356,43,65,.662,,,162,38,,,,91,233,1966
