,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Jay Arnette,SG,26,CIN,63,,662,91,245,.371,,,,91,245,.371,.371,56,75,.747,,,62,68,,,,125,238,1965
1,2,Al Attles*,PG,28,SFW,73,,1733,254,662,.384,,,,254,662,.384,.384,171,274,.624,,,239,205,,,,242,679,1965
2,3,Jim Barnes,PF,23,NYK,75,,2586,454,1070,.424,,,,454,1070,.424,.424,251,379,.662,,,729,93,,,,312,1159,1965
3,4,Dick Barnett,SG,28,LAL,74,,2026,375,908,.413,,,,375,908,.413,.413,270,338,.799,,,200,159,,,,209,1020,1965
4,5,John Barnhill,SG,26,STL,41,,777,121,312,.388,,,,121,312,.388,.388,45,70,.643,,,91,76,,,,56,287,1965
5,6,Elgin Baylor*,SF,30,LAL,74,,3056,763,1903,.401,,,,763,1903,.401,.401,483,610,.792,,,950,280,,,,235,2009,1965
6,7,Zelmo Beaty*,C,25,STL,80,,2916,505,1047,.482,,,,505,1047,.482,.482,341,477,.715,,,966,111,,,,328,1351,1965
7,8,Walt Bellamy*,C,25,BAL,80,,3301,733,1441,.509,,,,733,1441,.509,.509,515,752,.685,,,1166,191,,,,260,1981,1965
8,9,Al Bianchi,PG,32,PHI,60,,1116,175,486,.360,,,,175,486,.360,.360,54,76,.711,,,95,140,,,,178,404,1965
9,10,Bucky Bockhorn,SG,31,CIN,19,,424,60,157,.382,,,,60,157,.382,.382,28,39,.718,,,55,45,,,,52,148,1965
10,11,Ron Bonham,SF,22,BOS,37,,369,91,220,.414,,,,91,220,.414,.414,92,112,.821,,,78,19,,,,33,274,1965
11,12,Bob Boozer,SF,27,NYK,80,,2139,424,963,.440,,,,424,963,.440,.440,288,375,.768,,,604,108,,,,183,1136,1965
12,13,Gary Bradds,SF,22,BAL,41,,335,46,111,.414,,,,46,111,.414,.414,45,63,.714,,,84,19,,,,36,137,1965
13,14,Bill Bridges,PF,25,STL,79,,2362,362,938,.386,,,,362,938,.386,.386,186,275,.676,,,853,187,,,,276,910,1965
