,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Zaid Abdul-Aziz,PF,23,MIL,80,,1637,237,546,.434,,,,237,546,.434,.434,119,185,.643,,,603,62,,,,167,593,1970
1,2,Kareem Abdul-Jabbar*,C,22,MIL,82,,3534,938,1810,.518,,,,938,1810,.518,.518,485,743,.653,,,1190,337,,,,283,2361,1970
2,3,Rick Adelman,PG,23,SDR,35,,717,96,247,.389,,,,96,247,.389,.389,68,91,.747,,,81,113,,,,90,260,1970
3,4,Lucius Allen,PG,22,SEA,81,,1817,306,692,.442,,,,306,692,.442,.442,182,249,.731,,,211,342,,,,201,794,1970
4,5,Wally Anderzunas,SF,24,CIN,44,,370,65,166,.392,,,,65,166,.392,.392,29,46,.630,,,82,9,,,,47,159,1970
5,6,John Arthurs,G,22,MIL,11,,86,12,35,.343,,,,12,35,.343,.343,11,15,.733,,,14,17,,,,15,35,1970
6,7,Al Attles*,PG,33,SFW,45,,676,78,202,.386,,,,78,202,.386,.386,75,113,.664,,,74,142,,,,103,231,1970
7,8,Jim Barnes,C,28,BOS,77,,1049,178,434,.410,,,,178,434,.410,.410,95,128,.742,,,350,52,,,,229,451,1970
8,9,Dick Barnett,SG,33,NYK,82,,2772,494,1039,.475,,,,494,1039,.475,.475,232,325,.714,,,221,298,,,,220,1220,1970
9,10,Jim Barnett,SG,25,SDR,80,,2105,450,998,.451,,,,450,998,.451,.451,289,366,.790,,,305,287,,,,222,1189,1970
10,11,Johnny Baum,SF,23,CHI,3,,13,3,11,.273,,,,3,11,.273,.273,0,0,,,,4,0,,,,1,6,1970
11,12,Elgin Baylor*,SF,35,LAL,54,,2213,511,1051,.486,,,,511,1051,.486,.486,276,357,.773,,,559,292,,,,132,1298,1970
12,13,Butch Beard,PG,22,ATL,72,,941,183,392,.467,,,,183,392,.467,.467,135,163,.828,,,140,121,,,,124,501,1970
