,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Zaid Abdul-Aziz,C,22,TOT,49,,945,144,390,.369,,,,144,390,.369,.369,70,113,.619,,,409,37,,,,115,358,1969
1,1,Zaid Abdul-Aziz,C-F,22,CIN,20,,108,18,43,.419,,,,18,43,.419,.419,2,7,.286,,,31,4,,,,17,38,1969
2,1,Zaid Abdul-Aziz,C,22,MIL,29,,837,126,347,.363,,,,126,347,.363,.363,68,106,.642,,,378,33,,,,98,320,1969
3,2,Rick Adelman,PG,22,SDR,77,,1448,177,449,.394,,,,177,449,.394,.394,131,204,.642,,,216,238,,,,158,485,1969
4,3,Bob Allen,PF,22,SFW,27,,232,14,43,.326,,,,14,43,.326,.326,20,36,.556,,,56,10,,,,27,48,1969
5,4,Cliff Anderson,SG,24,LAL,35,,289,44,108,.407,,,,44,108,.407,.407,47,82,.573,,,44,31,,,,58,135,1969
6,5,Al Attles*,PG,32,SFW,51,,1516,162,359,.451,,,,162,359,.451,.451,95,149,.638,,,181,306,,,,183,419,1969
7,6,Harry Barnes,SF,23,SDR,22,,126,18,64,.281,,,,18,64,.281,.281,7,13,.538,,,26,5,,,,25,43,1969
8,7,Jim Barnes,C-PF,27,TOT,59,,706,115,261,.441,,,,115,261,.441,.441,75,111,.676,,,224,28,,,,122,305,1969
9,7,Jim Barnes,PF,27,CHI,10,,111,23,59,.390,,,,23,59,.390,.390,10,19,.526,,,30,1,,,,15,56,1969
10,7,Jim Barnes,C,27,BOS,49,,595,92,202,.455,,,,92,202,.455,.455,65,92,.707,,,194,27,,,,107,249,1969
11,8,Dick Barnett,SG,32,NYK,82,,2953,565,1220,.463,,,,565,1220,.463,.463,312,403,.774,,,251,291,,,,239,1442,1969
12,9,Jim Barnett,SG,24,SDR,80,,2346,465,1093,.425,,,,465,1093,.425,.425,233,310,.752,,,362,339,,,,240,1163,1969
13,10,John Barnhill,PG,30,BAL,30,,504,76,175,.434,,,,76,175,.434,.434,39,65,.600,,,53,71,,,,63,191,1969
14,11,Elgin Baylor*,SF,34,LAL,76,,3064,730,1632,.447,,,,730,1632,.447,.447,421,567,.743,,,805,408,,,,204,1881,1969
15,12,Zelmo Beaty*,C,29,ATL,72,,2578,588,1251,.470,,,,588,1251,.470,.470,370,506,.731,,,798,131,,,,272,1546,1969
16,13,Walt Bellamy*,C,29,TOT,88,,3159,563,1103,.510,,,,563,1103,.510,.510,401,618,.649,,,1101,176,,,,320,1527,1969
17,13,Walt Bellamy*,C,29,NYK,35,,1136,204,402,.507,,,,204,402,.507,.507,125,202,.619,,,385,77,,,,123,533,1969
18,13,Walt Bellamy*,C,29,DET,53,,2023,359,701,.512,,,,359,701,.512,.512,276,416,.663,,,716,99,,,,197,994,1969
19,14,Ed Biedenbach,G,23,PHO,7,,18,0,6,.000,,,,0,6,.000,.000,4,6,.667,,,2,3,,,,1,4,1969
20,15,Dave Bing*,PG,25,DET,77,,3039,678,1594,.425,,,,678,1594,.425,.425,444,623,.713,,,382,546,,,,256,1800,1969
21,16,John Block,PF,24,SDR,78,,2489,448,1061,.422,,,,448,1061,.422,.422,299,400,.748,,,703,141,,,,249,1195,1969
22,17,Tom Boerwinkle,C,23,CHI,80,,2365,318,831,.383,,,,318,831,.383,.383,145,222,.653,,,889,178,,,,317,781,1969
23,18,Bob Boozer,PF,31,CHI,79,,2872,661,1375,.481,,,,661,1375,.481,.481,394,489,.806,,,614,156,,,,218,1716,1969
24,19,Nate Bowman,C,25,NYK,67,,607,82,226,.363,,,,82,226,.363,.363,29,61,.475,,,220,53,,,,142,193,1969
25,20,Bill Bradley*,SF,25,NYK,82,,2413,407,948,.429,,,,407,948,.429,.429,206,253,.814,,,350,302,,,,295,1020,1969
26,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1969
27,21,Bill Bridges,PF,29,ATL,80,,2930,351,775,.453,,,,351,775,.453,.453,239,353,.677,,,1132,298,,,,290,941,1969
28,22,Em Bryant,PG,30,BOS,80,,1388,197,488,.404,,,,197,488,.404,.404,65,100,.650,,,192,176,,,,264,459,1969
29,23,Joe Caldwell,SG,27,ATL,81,,2720,561,1106,.507,,,,561,1106,.507,.507,159,296,.537,,,303,320,,,,231,1281,1969
30,24,Jay Carty,PF,27,LAL,28,,192,34,89,.382,,,,34,89,.382,.382,8,11,.727,,,58,11,,,,31,76,1969
31,25,Wilt Chamberlain*,C,32,LAL,81,,3669,641,1099,.583,,,,641,1099,.583,.583,382,857,.446,,,1712,366,,,,142,1664,1969
32,26,Don Chaney,SG,22,BOS,20,,209,36,113,.319,,,,36,113,.319,.319,8,20,.400,,,46,19,,,,32,80,1969
33,27,Len Chappell,PF,28,MIL,80,,2207,459,1011,.454,,,,459,1011,.454,.454,250,339,.737,,,637,95,,,,247,1168,1969
34,28,Archie Clark,SG,27,PHI,82,,2144,444,928,.478,,,,444,928,.478,.478,219,314,.697,,,265,296,,,,188,1107,1969
35,29,Barry Clemens,SF,25,CHI,75,,1444,235,628,.374,,,,235,628,.374,.374,82,125,.656,,,318,125,,,,163,552,1969
36,30,Mel Counts,PF,27,LAL,77,,1866,390,867,.450,,,,390,867,.450,.450,178,221,.805,,,600,109,,,,223,958,1969
37,31,Freddie Crawford,SG,27,LAL,81,,1690,211,454,.465,,,,211,454,.465,.465,83,154,.539,,,215,154,,,,224,505,1969
38,32,Billy Cunningham*,PF,25,PHI,82,,3345,739,1736,.426,,,,739,1736,.426,.426,556,754,.737,,,1050,287,,,,329,2034,1969
39,33,Dick Cunningham,C,22,MIL,77,,1236,141,332,.425,,,,141,332,.425,.425,69,106,.651,,,438,58,,,,166,351,1969
40,34,Jim Davis,C,27,ATL,78,,1367,265,568,.467,,,,265,568,.467,.467,154,231,.667,,,529,97,,,,239,684,1969
41,35,Dave DeBusschere*,PF,28,TOT,76,,2943,506,1140,.444,,,,506,1140,.444,.444,229,328,.698,,,888,191,,,,290,1241,1969
42,35,Dave DeBusschere*,PF,28,DET,29,,1092,189,423,.447,,,,189,423,.447,.447,94,130,.723,,,353,63,,,,111,472,1969
43,35,Dave DeBusschere*,PF,28,NYK,47,,1851,317,717,.442,,,,317,717,.442,.442,135,198,.682,,,535,128,,,,179,769,1969
44,36,Connie Dierking,C,32,CIN,82,,2540,546,1232,.443,,,,546,1232,.443,.443,243,319,.762,,,739,222,,,,305,1335,1969
45,37,Bill Dinwiddie,SF,25,CIN,69,,1028,124,352,.352,,,,124,352,.352,.352,45,87,.517,,,242,55,,,,146,293,1969
46,38,Terry Dischinger,SF,28,DET,75,,1456,264,513,.515,,,,264,513,.515,.515,130,178,.730,,,323,93,,,,230,658,1969
47,39,Sonny Dove,PF,23,DET,29,,236,47,100,.470,,,,47,100,.470,.470,24,36,.667,,,62,12,,,,49,118,1969
48,40,Johnny Egan,PG,30,LAL,82,,1805,246,597,.412,,,,246,597,.412,.412,204,240,.850,,,147,215,,,,206,696,1969
49,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1969
50,41,Joe Ellis,SF,24,SFW,74,,1731,371,939,.395,,,,371,939,.395,.395,147,201,.731,,,481,130,,,,258,889,1969
51,42,Leroy Ellis,C,28,BAL,80,,1603,229,527,.435,,,,229,527,.435,.435,117,155,.755,,,510,73,,,,168,575,1969
