,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Zaid Abdul-Aziz,C,28,HOU,65,,1450,235,538,.437,,,,235,538,.437,.437,159,203,.783,154,334,488,84,37,74,,128,629,1975
1,2,Kareem Abdul-Jabbar*,C,27,MIL,65,,2747,812,1584,.513,,,,812,1584,.513,.513,325,426,.763,194,718,912,264,65,212,,205,1949,1975
2,3,Don Adams,SF,27,DET,51,,1376,127,315,.403,,,,127,315,.403,.403,45,78,.577,63,181,244,75,69,20,,179,299,1975
3,4,Rick Adelman,PG,28,TOT,58,,1074,123,291,.423,,,,123,291,.423,.423,73,103,.709,25,70,95,112,70,8,,101,319,1975
4,4,Rick Adelman,PG,28,CHI,12,,340,43,104,.413,,,,43,104,.413,.413,28,39,.718,6,20,26,35,16,1,,31,114,1975
5,4,Rick Adelman,PG,28,NOJ,28,,613,67,159,.421,,,,67,159,.421,.421,41,59,.695,13,42,55,69,47,6,,58,175,1975
6,4,Rick Adelman,PG,28,KCO,18,,121,13,28,.464,,,,13,28,.464,.464,4,5,.800,6,8,14,8,7,1,,12,30,1975
7,5,Lucius Allen,PG,27,TOT,66,,2353,511,1170,.437,,,,511,1170,.437,.437,238,306,.778,90,188,278,372,136,29,,217,1260,1975
8,5,Lucius Allen,PG,27,MIL,10,,342,68,164,.415,,,,68,164,.415,.415,31,37,.838,9,22,31,53,14,1,,23,167,1975
9,5,Lucius Allen,PG,27,LAL,56,,2011,443,1006,.440,,,,443,1006,.440,.440,207,269,.770,81,166,247,319,122,28,,194,1093,1975
10,6,Dan Anderson,SG,24,POR,43,,453,47,105,.448,,,,47,105,.448,.448,26,30,.867,8,21,29,81,16,1,,44,120,1975
11,7,Tiny Archibald*,PG,26,KCO,82,,3244,759,1664,.456,,,,759,1664,.456,.456,652,748,.872,48,174,222,557,119,7,,187,2170,1975
12,8,Jim Ard,C,26,BOS,59,,719,89,266,.335,,,,89,266,.335,.335,48,65,.738,59,140,199,40,13,32,,96,226,1975
13,9,Dennis Awtrey,C,26,PHO,82,,2837,339,722,.470,,,,339,722,.470,.470,132,195,.677,242,462,704,342,60,52,,227,810,1975
