,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Paul Arizin*,SF,27,PHW,72,,2724,617,1378,.448,,,,617,1378,.448,.448,507,626,.810,,,539,189,,,,282,1741,1956
1,2,Jesse Arnelle,PF,22,FTW,31,,409,52,164,.317,,,,52,164,.317,.317,43,69,.623,,,170,18,,,,60,147,1956
2,3,Dick Atha,SG,24,NYK,25,,288,36,88,.409,,,,36,88,.409,.409,21,27,.778,,,42,32,,,,39,93,1956
3,4,Jim Baechtold,SF,28,NYK,70,,1738,268,695,.386,,,,268,695,.386,.386,233,291,.801,,,220,163,,,,156,769,1956
4,5,Ernie Barrett,SG,26,BOS,72,,1451,207,533,.388,,,,207,533,.388,.388,93,118,.788,,,243,174,,,,184,507,1956
5,6,Ernie Beck,SG,24,PHW,67,,1007,136,351,.387,,,,136,351,.387,.387,76,106,.717,,,196,79,,,,86,348,1956
6,7,Don Bielke,C,23,FTW,7,,38,5,9,.556,,,,5,9,.556,.556,4,7,.571,,,9,1,,,,9,14,1956
7,8,Carl Braun*,SG,28,NYK,72,,2316,396,1064,.372,,,,396,1064,.372,.372,320,382,.838,,,259,298,,,,215,1112,1956
8,9,Frankie Brian,PG,32,FTW,37,,680,78,263,.297,,,,78,263,.297,.297,72,88,.818,,,88,74,,,,62,228,1956
9,10,Nat Clifton*,PF,33,NYK,64,,1537,213,541,.394,,,,213,541,.394,.394,135,191,.707,,,386,151,,,,189,561,1956
10,11,Jack Coleman,PF,31,TOT,75,,2738,390,946,.412,,,,390,946,.412,.412,177,249,.711,,,688,294,,,,242,957,1956
11,11,Jack Coleman,PF,31,ROC,34,,1369,195,473,.412,,,,195,473,.412,.412,89,125,.712,,,344,147,,,,121,479,1956
12,11,Jack Coleman,PF,31,STL,41,,1369,195,473,.412,,,,195,473,.412,.412,88,124,.710,,,344,147,,,,121,478,1956
13,12,Ed Conlin,SF,22,SYR,66,,1423,211,574,.368,,,,211,574,.368,.368,121,178,.680,,,326,145,,,,121,543,1956
14,13,Chuck Cooper*,SF,29,TOT,67,,1144,101,308,.328,,,,101,308,.328,.328,100,133,.752,,,239,89,,,,140,302,1956
15,13,Chuck Cooper*,F,29,STL,35,,574,58,172,.337,,,,58,172,.337,.337,62,84,.738,,,138,61,,,,71,178,1956
16,13,Chuck Cooper*,SF,29,FTW,32,,570,43,136,.316,,,,43,136,.316,.316,38,49,.776,,,101,28,,,,69,124,1956
17,14,Bob Cousy*,PG,27,BOS,72,,2767,440,1223,.360,,,,440,1223,.360,.360,476,564,.844,,,492,642,,,,206,1356,1956
18,15,Red Davis,C,23,ROC,3,,16,0,6,.000,,,,0,6,.000,.000,2,2,1.000,,,4,1,,,,2,2,1956
19,16,Walt Davis,PF,25,PHW,70,,1097,123,333,.369,,,,123,333,.369,.369,77,112,.688,,,276,56,,,,230,323,1956
20,17,George Dempsey,PG,26,PHW,72,,1444,126,265,.475,,,,126,265,.475,.475,88,139,.633,,,264,205,,,,146,340,1956
21,18,Corky Devlin,SG,24,FTW,69,,1535,200,541,.370,,,,200,541,.370,.370,146,192,.760,,,171,138,,,,119,546,1956
22,19,Walter Dukes,C,25,NYK,60,,1290,149,370,.403,,,,149,370,.403,.403,167,236,.708,,,443,39,,,,211,465,1956
23,20,Dick Farley,SG,23,SYR,72,,1429,168,451,.373,,,,168,451,.373,.373,143,207,.691,,,165,151,,,,154,479,1956
24,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1956
25,21,Ron Feiereisel,G,24,MNL,10,,59,8,28,.286,,,,8,28,.286,.286,14,16,.875,,,6,6,,,,9,30,1956
26,22,Ray Felix,C,25,NYK,72,,1702,277,668,.415,,,,277,668,.415,.415,331,469,.706,,,623,47,,,,293,885,1956
27,23,Al Ferrari,SF,22,STL,68,,1611,191,534,.358,,,,191,534,.358,.358,164,236,.695,,,186,163,,,,192,546,1956
28,24,Ed Fleming,SG,22,ROC,71,,2028,306,824,.371,,,,306,824,.371,.371,277,372,.745,,,489,197,,,,178,889,1956
29,25,Larry Foust,C,27,FTW,72,,2024,367,821,.447,,,,367,821,.447,.447,432,555,.778,,,648,127,,,,263,1166,1956
30,26,Harry Gallatin*,SF,28,NYK,72,,2378,322,834,.386,,,,322,834,.386,.386,358,455,.787,,,740,168,,,,220,1002,1956
31,27,Dick Garmaker,SG,23,MNL,68,,870,138,373,.370,,,,138,373,.370,.370,112,139,.806,,,132,104,,,,127,388,1956
32,28,Jack George,PG,27,PHW,72,,2840,352,940,.374,,,,352,940,.374,.374,296,391,.757,,,313,457,,,,202,1000,1956
33,29,Tom Gola*,SG,23,PHW,68,,2346,244,592,.412,,,,244,592,.412,.412,244,333,.733,,,616,404,,,,272,732,1956
34,30,Joe Graboski,PF,26,PHW,72,,2375,397,1075,.369,,,,397,1075,.369,.369,240,340,.706,,,642,190,,,,272,1034,1956
35,31,Alex Hannum*,PF,32,STL,71,,1480,146,453,.322,,,,146,453,.322,.322,93,154,.604,,,344,157,,,,271,385,1956
36,32,Chris Harris,SG,22,TOT,41,,420,37,149,.248,,,,37,149,.248,.248,27,45,.600,,,44,44,,,,43,101,1956
