,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Zaid Abdul-Aziz,C,26,HOU,48,,900,149,375,.397,,,,149,375,.397,.397,119,162,.735,,,304,53,,,,108,417,1973
1,2,Kareem Abdul-Jabbar*,C,25,MIL,76,,3254,982,1772,.554,,,,982,1772,.554,.554,328,460,.713,,,1224,379,,,,208,2292,1973
2,3,Don Adams,SF,25,TOT,74,,1874,265,678,.391,,,,265,678,.391,.391,145,184,.788,,,441,117,,,,231,675,1973
3,3,Don Adams,SF,25,ATL,4,,76,8,38,.211,,,,8,38,.211,.211,7,8,.875,,,22,5,,,,11,23,1973
4,3,Don Adams,SF,25,DET,70,,1798,257,640,.402,,,,257,640,.402,.402,138,176,.784,,,419,112,,,,220,652,1973
5,4,Rick Adelman,PG,26,POR,76,,1822,214,525,.408,,,,214,525,.408,.408,73,102,.716,,,157,294,,,,155,501,1973
6,5,Lucius Allen,PG,25,MIL,80,,2693,547,1130,.484,,,,547,1130,.484,.484,143,200,.715,,,279,426,,,,188,1237,1973
7,6,Tiny Archibald*,PG,24,KCO,80,,3681,1028,2106,.488,,,,1028,2106,.488,.488,663,783,.847,,,223,910,,,,207,2719,1973
8,7,Dennis Awtrey,C,24,TOT,82,,1687,146,305,.479,,,,146,305,.479,.479,86,153,.562,,,447,224,,,,234,378,1973
9,7,Dennis Awtrey,C,24,PHI,3,,37,3,7,.429,,,,3,7,.429,.429,1,4,.250,,,14,2,,,,8,7,1973
10,7,Dennis Awtrey,C,24,CHI,79,,1650,143,298,.480,,,,143,298,.480,.480,85,149,.570,,,433,222,,,,226,371,1973
11,8,Dick Barnett,SG,36,NYK,51,,514,88,226,.389,,,,88,226,.389,.389,16,30,.533,,,41,50,,,,52,192,1973
12,9,Jim Barnett,PG,28,GSW,82,,2215,394,844,.467,,,,394,844,.467,.467,183,217,.843,,,255,301,,,,150,971,1973
