,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Al Attles*,PG,26,SFW,71,,1876,301,630,.478,,,,301,630,.478,.478,133,206,.646,,,205,184,,,,253,735,1963
1,2,Dick Barnett,SG,26,LAL,80,,2544,547,1162,.471,,,,547,1162,.471,.471,343,421,.815,,,242,224,,,,189,1437,1963
2,3,John Barnhill,SG,24,STL,77,,2692,360,838,.430,,,,360,838,.430,.430,181,255,.710,,,359,322,,,,168,901,1963
3,4,Elgin Baylor*,SF,28,LAL,80,,3370,1029,2273,.453,,,,1029,2273,.453,.453,661,790,.837,,,1146,386,,,,226,2719,1963
4,5,Zelmo Beaty*,C,23,STL,80,,1918,297,677,.439,,,,297,677,.439,.439,220,307,.717,,,665,85,,,,312,814,1963
5,6,Walt Bellamy*,C,23,CHZ,80,,3306,840,1595,.527,,,,840,1595,.527,.527,553,821,.674,,,1309,233,,,,283,2233,1963
6,7,Al Bianchi,SG,30,SYR,61,,1159,202,476,.424,,,,202,476,.424,.424,120,164,.732,,,134,170,,,,165,524,1963
7,8,Bucky Bockhorn,SG,29,CIN,80,,2612,375,954,.393,,,,375,954,.393,.393,183,242,.756,,,322,261,,,,260,933,1963
8,9,Bob Boozer,PF,25,CIN,79,,2488,440,992,.444,,,,440,992,.444,.444,252,353,.714,,,878,102,,,,299,1132,1963
9,10,Bill Bridges,PF,23,STL,27,,374,66,160,.413,,,,66,160,.413,.413,32,51,.627,,,144,23,,,,58,164,1963
10,11,Joe Buckhalter,PF,25,CIN,2,,12,0,5,.000,,,,0,5,.000,.000,2,2,1.000,,,3,0,,,,1,2,1963
11,12,Cleveland Buckner,PF,24,NYK,6,,27,5,10,.500,,,,5,10,.500,.500,2,4,.500,,,4,5,,,,6,12,1963
12,13,Dave Budd,SF,24,NYK,78,,1725,294,596,.493,,,,294,596,.493,.493,151,202,.748,,,395,87,,,,204,739,1963
13,14,Donnie Butcher,SG,26,NYK,68,,1193,172,424,.406,,,,172,424,.406,.406,131,194,.675,,,180,138,,,,164,475,1963
14,15,Al Butler,PG,24,NYK,74,,1488,297,676,.439,,,,297,676,.439,.439,144,187,.770,,,170,156,,,,145,738,1963
15,16,Barney Cable,SF,27,TOT,61,,1203,173,380,.455,,,,173,380,.455,.455,62,96,.646,,,238,83,,,,135,408,1963
16,16,Barney Cable,SF,27,STL,42,,662,107,216,.495,,,,107,216,.495,.495,41,63,.651,,,129,42,,,,86,255,1963
17,16,Barney Cable,SF,27,CHZ,19,,541,66,164,.402,,,,66,164,.402,.402,21,33,.636,,,109,41,,,,49,153,1963
18,17,Wilt Chamberlain*,C,26,SFW,80,,3806,1463,2770,.528,,,,1463,2770,.528,.528,660,1113,.593,,,1946,275,,,,136,3586,1963
19,18,Len Chappell,PF,22,SYR,80,,1241,281,604,.465,,,,281,604,.465,.465,148,238,.622,,,461,56,,,,171,710,1963
20,19,Gene Conley,PF,32,NYK,70,,1544,254,651,.390,,,,254,651,.390,.390,122,186,.656,,,469,70,,,,263,630,1963
21,20,Larry Costello,PG,31,SYR,78,,2066,285,660,.432,,,,285,660,.432,.432,288,327,.881,,,237,334,,,,263,858,1963
22,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1963
23,21,Bob Cousy*,PG,34,BOS,76,,1975,392,988,.397,,,,392,988,.397,.397,219,298,.735,,,193,515,,,,175,1003,1963
24,22,Johnny Cox,SG,26,CHZ,73,,1685,239,568,.421,,,,239,568,.421,.421,95,135,.704,,,280,142,,,,149,573,1963
25,23,Dave DeBusschere*,SF,22,DET,80,,2352,406,944,.430,,,,406,944,.430,.430,206,287,.718,,,694,207,,,,247,1018,1963
26,24,Terry Dischinger,SF,22,CHZ,57,,2294,525,1026,.512,,,,525,1026,.512,.512,402,522,.770,,,458,175,,,,188,1452,1963
27,25,Danny Doyle,PF,22,DET,4,,25,6,12,.500,,,,6,12,.500,.500,4,5,.800,,,8,3,,,,4,16,1963
28,26,Bob Duffy,PG,22,STL,42,,435,66,174,.379,,,,66,174,.379,.379,22,39,.564,,,39,83,,,,42,154,1963
29,27,Walter Dukes,C,32,DET,62,,913,83,255,.325,,,,83,255,.325,.325,101,137,.737,,,360,55,,,,183,267,1963
30,28,Johnny Egan,PG,24,DET,46,,752,110,296,.372,,,,110,296,.372,.372,53,69,.768,,,59,114,,,,70,273,1963
31,29,Leroy Ellis,C,22,LAL,80,,1628,222,530,.419,,,,222,530,.419,.419,133,202,.658,,,518,46,,,,194,577,1963
32,30,Wayne Embry*,C,25,CIN,76,,2511,534,1165,.458,,,,534,1165,.458,.458,343,514,.667,,,936,177,,,,286,1411,1963
33,31,Mike Farmer,SF,26,STL,80,,1724,239,562,.425,,,,239,562,.425,.425,117,139,.842,,,369,143,,,,155,595,1963
34,32,Dave Fedor,F,22,SFW,7,,27,3,10,.300,,,,3,10,.300,.300,0,1,.000,,,6,1,,,,4,6,1963
35,33,Al Ferrari,G-F,29,CHZ,18,,138,12,37,.324,,,,12,37,.324,.324,14,17,.824,,,12,14,,,,21,38,1963
36,34,Bob Ferry,C,25,DET,79,,2479,426,984,.433,,,,426,984,.433,.433,220,339,.649,,,537,170,,,,246,1072,1963
37,35,Jack Foley,F,23,TOT,11,,83,20,51,.392,,,,20,51,.392,.392,13,15,.867,,,16,5,,,,8,53,1963
38,35,Jack Foley,F,23,BOS,5,,46,13,26,.500,,,,13,26,.500,.500,6,8,.750,,,7,0,,,,3,32,1963
39,35,Jack Foley,F,23,NYK,6,,37,7,25,.280,,,,7,25,.280,.280,7,7,1.000,,,9,5,,,,5,21,1963
40,36,Dave Gambee,SF,25,SYR,60,,1234,235,537,.438,,,,235,537,.438,.438,199,238,.836,,,289,48,,,,190,669,1963
41,37,Tom Gola*,SF-SG,30,TOT,73,,2670,363,791,.459,,,,363,791,.459,.459,170,219,.776,,,517,298,,,,295,896,1963
42,37,Tom Gola*,SG,30,SFW,21,,822,111,243,.457,,,,111,243,.457,.457,50,66,.758,,,148,73,,,,93,272,1963
43,37,Tom Gola*,SF,30,NYK,52,,1848,252,548,.460,,,,252,548,.460,.460,120,153,.784,,,369,225,,,,202,624,1963
44,38,Johnny Green,PF,29,NYK,80,,2553,582,1261,.462,,,,582,1261,.462,.462,280,439,.638,,,964,152,,,,243,1444,1963
45,39,Si Green,PG,29,CHZ,73,,2648,322,783,.411,,,,322,783,.411,.411,209,306,.683,,,335,422,,,,274,853,1963
46,40,Hal Greer*,SG,26,SYR,80,,2631,600,1293,.464,,,,600,1293,.464,.464,362,434,.834,,,457,275,,,,286,1562,1963
47,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,1963
48,41,Gene Guarilia,SF,25,BOS,11,,83,11,38,.289,,,,11,38,.289,.289,4,11,.364,,,14,2,,,,5,26,1963
49,42,Richie Guerin*,SG,30,NYK,79,,2712,596,1380,.432,,,,596,1380,.432,.432,509,600,.848,,,331,348,,,,228,1701,1963
50,43,Dave Gunther,F,25,SFW,1,,5,1,2,.500,,,,1,2,.500,.500,0,0,,,,3,3,,,,1,2,1963
51,44,Cliff Hagan*,SF,31,STL,79,,1716,491,1055,.465,,,,491,1055,.465,.465,244,305,.800,,,341,193,,,,211,1226,1963
52,45,Charlie Hardnett,PF,24,CHZ,78,,1657,301,683,.441,,,,301,683,.441,.441,225,349,.645,,,602,74,,,,225,827,1963
